,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,City,Lot Temp,sqft
0,Condo,1891.0,"Forced air, Gas",Central,1 space,399700.0,282.0,399700.0,2,2.0,2.0,2511-W-Moffat-St-APT-110-Chicago-IL-60647,https://www.zillow.com/homedetails/2511-W-Moffat-St-APT-110-Chicago-IL-60647/49917250_zpid/,,0,Chicago,,1417.3758865248226
1,Condo,1915.0,"Forced air, Gas",Central,1 space,319900.0,213.0,319900.0,2,2.0,2.0,1116-W-Pratt-Blvd-APT-3-Chicago-IL-60626,https://www.zillow.com/homedetails/1116-W-Pratt-Blvd-APT-3-Chicago-IL-60626/87715800_zpid/,,0,Chicago,,1501.8779342723005
2,Condo,1991.0,Forced air,Central,1 space,300000.0,387.0,300000.0,1,1.0,1.0,440-N-Mcclurg-Ct-APT-1015-Chicago-IL-60611,https://www.zillow.com/homedetails/440-N-Mcclurg-Ct-APT-1015-Chicago-IL-60611/121072434_zpid/,,0,Chicago,,775.1937984496124
3,Single Family,1944.0,Gas,None,3 spaces,160000.0,123.0,160000.0,2,1.0,1.0,11035-S-Pulaski-Rd-Chicago-IL-60655,https://www.zillow.com/homedetails/11035-S-Pulaski-Rd-Chicago-IL-60655/4082887_zpid/,4960.0,0,Chicago,"['4,960', 'sqft']",1300.8130081300812
4,Condo,1964.0,Forced air,Central,1 space,429900.0,331.0,429900.0,2,2.0,2.0,222-E-Pearson-St-APT-1701-Chicago-IL-60611,https://www.zillow.com/homedetails/222-E-Pearson-St-APT-1701-Chicago-IL-60611/80853694_zpid/,,0,Chicago,,1298.7915407854985
5,Condo,1921.0,"Other, Electric",Refrigeration,1 space,272000.0,,272000.0,1,1.0,1.0,60-E-Scott-St-APT-403-Chicago-IL-60610,https://www.zillow.com/homedetails/60-E-Scott-St-APT-403-Chicago-IL-60610/3845032_zpid/,,0,Chicago,,
6,Condo,2007.0,"Forced air, Gas",Central,1 space,579000.0,483.0,579000.0,2,2.0,2.0,2741-N-Bosworth-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/2741-N-Bosworth-Ave-3-Chicago-IL-60614/89915423_zpid/,,0,Chicago,,1198.7577639751553
7,Condo,1948.0,Baseboard,None,,220000.0,314.0,220000.0,1,1.0,1.0,1750-N-Wells-St-APT-202-Chicago-IL-60614,https://www.zillow.com/homedetails/1750-N-Wells-St-APT-202-Chicago-IL-60614/113958969_zpid/,,0,Chicago,,700.6369426751593
8,Single Family,1916.0,Forced air,Central,2 spaces,500000.0,278.0,500000.0,5,3.0,3.0,5240-W-Cuyler-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/5240-W-Cuyler-Ave-Chicago-IL-60641/3649669_zpid/,3750.0,0,Chicago,"['3,750', 'sqft']",1798.5611510791366
9,Single Family,1962.0,Forced air,Central,2 spaces,240000.0,231.0,240000.0,3,1.0,1.0,3433-W-54th-St-Chicago-IL-60632,https://www.zillow.com/homedetails/3433-W-54th-St-Chicago-IL-60632/3929086_zpid/,3136.0,0,Chicago,"['3,136', 'sqft']",1038.9610389610389
10,Condo,2020.0,"Forced air, Gas",Central,1 space,649000.0,309.0,649000.0,3,2.0,2.0,2116-N-California-Ave-6-Chicago-IL-60647,https://www.zillow.com/homedetails/2116-N-California-Ave-6-Chicago-IL-60647/2077632946_zpid/,,0,Chicago,,2100.3236245954695
11,Condo,2020.0,Forced air,Central,1 space,645000.0,349.0,645000.0,3,2.0,2.0,2116-N-California-Ave-5-Chicago-IL-60647,https://www.zillow.com/homedetails/2116-N-California-Ave-5-Chicago-IL-60647/2077632945_zpid/,,0,Chicago,,1848.137535816619
12,Condo,2003.0,"Forced air, Gas",Central,1 space,415000.0,,415000.0,2,2.0,2.0,1637-W-Le-Moyne-St-APT-2-Chicago-IL-60622,https://www.zillow.com/homedetails/1637-W-Le-Moyne-St-APT-2-Chicago-IL-60622/70449034_zpid/,,0,Chicago,,
13,Single Family,1927.0,"Forced air, Gas",Central,2 spaces,399000.0,229.0,399000.0,4,2.0,1.0,7232-W-Ibsen-St-Chicago-IL-60631,https://www.zillow.com/homedetails/7232-W-Ibsen-St-Chicago-IL-60631/3511314_zpid/,4721.0,1,Chicago,"['4,721', 'sqft']",1742.35807860262
14,Townhouse,2020.0,Gas,Central,2 spaces,569000.0,219.0,569000.0,4,4.0,3.0,239-E-33rd-Blvd-Chicago-IL-60616,https://www.zillow.com/homedetails/239-E-33rd-Blvd-Chicago-IL-60616/2077633370_zpid/,,1,Chicago,,2598.1735159817354
15,Single Family,2020.0,Forced air,Central,2 spaces,609000.0,,609000.0,4,4.0,3.0,4334-S-Vernon-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4334-S-Vernon-Ave-Chicago-IL-60653/2077633373_zpid/,3733.0,1,Chicago,"['3,733', 'sqft']",
16,Single Family,1949.0,Forced air,Central,2 spaces,429900.0,216.0,429900.0,3,2.0,2.0,10957-S-Campbell-Ave-Chicago-IL-60655,https://www.zillow.com/homedetails/10957-S-Campbell-Ave-Chicago-IL-60655/4080466_zpid/,7405.0,0,Chicago,"['7,405', 'sqft']",1990.2777777777778
17,Condo,2009.0,Forced air,Central,2 spaces,1075000.0,614.0,1075000.0,3,2.0,2.0,1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605/113958053_zpid/,,0,Chicago,,1750.814332247557
18,Condo,2005.0,Forced air,None,1 space,319500.0,402.0,319500.0,1,1.0,1.0,123-S-Green-St-APT-209B-Chicago-IL-60607,https://www.zillow.com/homedetails/123-S-Green-St-APT-209B-Chicago-IL-60607/2077633611_zpid/,,0,Chicago,,794.776119402985
19,Condo,1964.0,Forced air,Central,1 space,375000.0,288.0,375000.0,2,2.0,2.0,1-E-Schiller-St-APT-4B-Chicago-IL-60610,https://www.zillow.com/homedetails/1-E-Schiller-St-APT-4B-Chicago-IL-60610/3844052_zpid/,,0,Chicago,,1302.0833333333333
20,Single Family,1900.0,Forced air,Central,2 spaces,325000.0,187.0,325000.0,5,2.0,2.0,3439-W-Hirsch-St-Chicago-IL-60651,https://www.zillow.com/homedetails/3439-W-Hirsch-St-Chicago-IL-60651/3793969_zpid/,3092.0,0,Chicago,"['3,092', 'sqft']",1737.9679144385027
21,Multi Family,1903.0,Gas,None,,239900.0,,239900.0,7,3.0,3.0,6431-S-Saint-Lawrence-Ave-Chicago-IL-60637,https://www.zillow.com/homedetails/6431-S-Saint-Lawrence-Ave-Chicago-IL-60637/2088033081_zpid/,,0,Chicago,,
22,Condo,1996.0,Gas,Central,1 space,215000.0,138.0,215000.0,2,2.0,2.0,6400-W-Berteau-Ave-APT-403-Chicago-IL-60634,https://www.zillow.com/homedetails/6400-W-Berteau-Ave-APT-403-Chicago-IL-60634/54532673_zpid/,,0,Chicago,,1557.9710144927535
23,Single Family,1949.0,Forced air,Central,,105000.0,88.0,105000.0,2,1.0,1.0,7310-S-Talman-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7310-S-Talman-Ave-Chicago-IL-60629/3957674_zpid/,3781.0,0,Chicago,"['3,781', 'sqft']",1193.1818181818182
