,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
0,Multi Family,1921,Forced air,No Data,2 spaces,No Data,"$279,900","5931 S Campbell Ave, Chicago, IL 60629", No, 6, 3, 3,"Home values in Chicago Lawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chicago Lawn will rise 1.8% () in the next year.This home is valued 69.6% higher () than the median home in Chicago Lawn.The median Zestimate for this neighborhood is $165,068.",https://www.zillow.com/homedetails/5931-S-Campbell-Ave-Chicago-IL-60629/2142525861_zpid/,,,,,For Sale
1,Single Family,1924,Gas,Central,2 spaces,$141,"$138,970","11117 S Sawyer Ave, Chicago, IL 60655", No, 3, 1, 1,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% () in the next year.This home is valued 42.8% lower () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/11117-S-Sawyer-Ave-Chicago-IL-60655/4096742_zpid/,"3,789 sqft",988,,,For Sale
2,Multi Family,1930,Forced air,No Data,None,No Data,"$99,900","7151 S Green St, Chicago, IL 60621", No, 6, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 104.9% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/7151-S-Green-St-Chicago-IL-60621/2077613010_zpid/,,,,,For Sale
3,Single Family,1898,Gas,No Data,1 space,$27,"$39,900","620 W 60th St, Chicago, IL 60621", No, 4, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 18.1% lower () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/620-W-60th-St-Chicago-IL-60621/3991519_zpid/,"3,301 sqft","1,498",None,,For Sale
4,Condo,1934,Forced air,No Data,None,$169,"$168,900","5148 N Monitor Ave APT 202, Chicago, IL 60630", No, 2, 1, 1,"Home values in Jefferson Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% () in the next year.This home is valued 44.3% lower () than the median home in Jefferson Park.The median Zestimate for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5148-N-Monitor-Ave-APT-202-Chicago-IL-60630/63692654_zpid/,,"1,000",$234/month,,For Sale
5,Multiple Occupancy,1922,"Forced air, Gas",No Data,3 spaces,,"$320,000","7828 S Colfax Ave, Chicago, IL 60649", No, 9, 3, 3,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 194.7% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7828-S-Colfax-Ave-Chicago-IL-60649/2077613653_zpid/,,,,,For Sale
6,Condo,1892,"Forced air, Gas",Central,No Data,$272,"$299,000","1211 N Honore St #B, Chicago, IL 60622", No, 2, 2, 2,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 48.9% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1211-N-Honore-St-B-Chicago-IL-60622/3860141_zpid/,,"1,100",$224/mo,,For Sale
7,Single Family,1901,No Data,No Data,No Data,$33,"$39,900","348 W 109th St, Chicago, IL 60628", No, 3, 2, 2,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% () in the next year.This home is valued 52.5% lower () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/348-W-109th-St-Chicago-IL-60628/4143151_zpid/,"3,101 sqft","1,200",,,For Sale
8,Multi Family,1916,Gas,No Data,2 spaces,No Data,"$230,000","2226 N Kostner Ave, Chicago, IL 60639", No, 5, 2, 2,"Home values in Hermosa have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hermosa will fall 0% () in the next year.This home is valued 7.9% lower () than the median home in Hermosa.The median Zestimate for this neighborhood is $249,786.",https://www.zillow.com/homedetails/2226-N-Kostner-Ave-Chicago-IL-60639/2077613898_zpid/,,,,,For Sale
9,Condo,2005,Forced air,Central,1 space,$256,"$319,900","6014 N Wolcott Ave APT 2N, Chicago, IL 60660", No, 2, 2, 2,"Home values in West Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% () in the next year.This home is valued 5.3% higher () than the median home in West Rogers Park.The median Zestimate for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6014-N-Wolcott-Ave-APT-2N-Chicago-IL-60660/80834208_zpid/,,"1,250",$214/month,,For Sale
10,Single Family,1906,"Radiant, Gas",Central,1 space,$157,"$339,000","5104 W Dakin St, Chicago, IL 60641", No, 3, 3, 2,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 16.9% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5104-W-Dakin-St-Chicago-IL-60641/3663101_zpid/,"3,075 sqft","2,163",, 1,For Sale
11,Condo,2002,Forced air,Central,1 space,$400,"$339,900","2111 W Churchill St APT 212, Chicago, IL 60647", No, 1, 1, 1,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 43.5% lower () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2111-W-Churchill-St-APT-212-Chicago-IL-60647/63696134_zpid/,,850,$303/month,,For Sale
12,Single Family,1926,Gas,Central,2 spaces,$150,"$249,000","3506 W 66th Pl, Chicago, IL 60629", No, 4, 2, 2,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% () in the next year.This home is valued 53.9% higher () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/3506-W-66th-Pl-Chicago-IL-60629/3953666_zpid/,"4,702 sqft","1,663",,,For Sale
13,Multiple Occupancy,1905,Gas,No Data,2 spaces,,"$99,900","8626 S Carpenter St, Chicago, IL 60620", No, 5, 2, 2,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 20.8% lower () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8626-S-Carpenter-St-Chicago-IL-60620/2137002729_zpid/,,,,,For Sale
14,Condo,2008,Gas,Central,1 space,$277,"$360,000","437 W Division St APT 311, Chicago, IL 60610", No, 2, 2, 2,"Home values in 60610 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cabrini Green will fall 0.3% () in the next year.This home is valued 15.9% lower () than the median home in Cabrini Green.The median Zestimate for this neighborhood is $427,846.",https://www.zillow.com/homedetails/437-W-Division-St-APT-311-Chicago-IL-60610/101363003_zpid/,,"1,300",$450/month,,For Sale
15,Condo,2007,"Electric, Gas",Central,1 space,,"$499,900","1337 N Ashland Ave SUITE 4, Chicago, IL 60622", No, 2, 2, 2,"Home values in Noble Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Noble Square will decrease 0.4% () in the next year.This home is valued 2.7% higher () than the median home in Noble Square.The median Zestimate for this neighborhood is $486,715.",https://www.zillow.com/homedetails/1337-N-Ashland-Ave-SUITE-4-Chicago-IL-60622/89941191_zpid/,,,,,For Sale
16,Condo,1915,"Forced air, Gas",Central,1 space,$325,"$389,999","728 W Jackson Blvd APT 823, Chicago, IL 60661", No, 2, 2, 2,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will decrease 0.5% () in the next year.This home is valued 15.1% higher () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/728-W-Jackson-Blvd-APT-823-Chicago-IL-60661/3871263_zpid/,,"1,200",$616/mo,,For Sale
17,Multi Family,1905,No Data,No Data,2 spaces,No Data,"$99,900","7047 S Carpenter St, Chicago, IL 60621", No, 3, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 104.9% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/7047-S-Carpenter-St-Chicago-IL-60621/2091230047_zpid/,,,,,For Sale
18,Condo,1970,Forced air,Central,1 space,$344,"$275,000","1560 N Sandburg Ter APT 4211, Chicago, IL 60610", No, 1, 1, 1,"Home values in Old Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town will fall 0.2% () in the next year.This home is valued 31% lower () than the median home in Old Town.The median Zestimate for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1560-N-Sandburg-Ter-APT-4211-Chicago-IL-60610/3854198_zpid/,,800,$698/month,,For Sale
19,Multiple Occupancy,1887,"Forced air, Gas",No Data,2 spaces,$941,"$1,600,000","1310 N Hoyne Ave, Chicago, IL 60622", No, 10, 5, 5,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will increase 1.1% () in the next year.This home is valued 173.2% higher () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1310-N-Hoyne-Ave-Chicago-IL-60622/2128767349_zpid/,,"1,700",,,For Sale
20,Multiple Occupancy,1890,No Data,No Data,No Data,,"$199,999","14 N Francisco Ave, Chicago, IL 60612", No, 5, 2, 2,"Home values in East Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Garfield Park will rise 8.8% () in the next year.This home is valued 24.9% higher () than the median home in East Garfield Park.The median Zestimate for this neighborhood is $160,150.",https://www.zillow.com/homedetails/14-N-Francisco-Ave-Chicago-IL-60612/2077616739_zpid/,,,,,For Sale
21,Townhouse,2017,Gas,Central,2 spaces,$359,"$1,089,000","1700 S Prairie Ave #3, Chicago, IL 60616", No, 4, 5, 4,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 188.9% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1700-S-Prairie-Ave-3-Chicago-IL-60616/253420054_zpid/,"1,011 sqft","3,030",$283/month, 1,For Sale
