,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms
0,Multi Family,1927,Forced air,No Data,None,No Data,"$120,000","8346 S Colfax Ave, Chicago, IL 60617", No, 5, 2, 2,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will decrease 5.1% () in the next year.This home is valued 24% higher () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/8346-S-Colfax-Ave-Chicago-IL-60617/2120997247_zpid/,,,,
1,Single Family,1961,Gas,Central,2 spaces,$161,"$257,000","(Undisclosed Address), Chicago, IL 60628", No, 4, 2, 2,"Home values in Longwood Manor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Longwood Manor will fall 4.4% () in the next year.This home is valued 88.1% higher () than the median home in Longwood Manor.The median Zestimate for this neighborhood is $136,662.",https://www.zillow.com/homedetails/Chicago-IL-60628/2123598574_zpid/,"4,051 sqft","1,600",,
2,Condo,1968,No Data,No Data,None,No Data,"$239,900","2930 N Sheridan Rd APT 1410, Chicago, IL 60657", No, 1, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 24% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2930-N-Sheridan-Rd-APT-1410-Chicago-IL-60657/89905106_zpid/,,,$351/month,
3,Townhouse,1966,"Baseboard, Gas",No Data,1 space,$41,"$39,900","8216 S Dobson Ave APT E, Chicago, IL 60619", No, 2, 2, 1,"Home values in East Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Chatham will decrease 9.5% () in the next year.This home is valued 46.4% lower () than the median home in East Chatham.The median Zestimate for this neighborhood is $74,450.",https://www.zillow.com/homedetails/8216-S-Dobson-Ave-APT-E-Chicago-IL-60619/2077618251_zpid/,No Data,980,, 1
4,Condo,2005,"Forced air, Gas",Central,1 space,$275,"$495,000","520 N Halsted St APT 510, Chicago, IL 60642", No, 3, 2, 2,"Home values in Fulton River District have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fulton River District will decrease 0.3% () in the next year.This home is valued 6.3% higher () than the median home in Fulton River District.The median Zestimate for this neighborhood is $465,877.",https://www.zillow.com/homedetails/520-N-Halsted-St-APT-510-Chicago-IL-60642/70465767_zpid/,,"1,800",$557/mo,
5,Multiple Occupancy,1908,No Data,No Data,2 spaces,,"$200,000","3839 W Jackson Blvd, Chicago, IL 60624", No, 8, 5, 4,"Home values in East Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Garfield Park will increase 8.8% () in the next year.This home is valued 24.9% higher () than the median home in East Garfield Park.The median Zestimate for this neighborhood is $160,150.",https://www.zillow.com/homedetails/3839-W-Jackson-Blvd-Chicago-IL-60624/2077618941_zpid/,,,, 1
6,Condo,1974,Forced air,Central,1 space,$242,"$379,000","4170 N Marine Dr APT 10L, Chicago, IL 60613", No, 3, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 24.9% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4170-N-Marine-Dr-APT-10L-Chicago-IL-60613/3704707_zpid/,,"1,568","$1,050/month",
7,Single Family,1941,"Forced air, Gas",Central,2 spaces,$231,"$340,000","5851 N Bernard St, Chicago, IL 60659", No, 3, 2, 1,"Home values in Hollywood Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hollywood Park will rise 2.4% () in the next year.This home is valued 3% lower () than the median home in Hollywood Park.The median Zestimate for this neighborhood is $350,566.",https://www.zillow.com/homedetails/5851-N-Bernard-St-Chicago-IL-60659/3621091_zpid/,"3,746 sqft","1,475",, 1
8,Single Family,1951,Gas,No Data,1 space,$118,"$175,000","12322 S Yale Ave, Chicago, IL 60628", No, 3, 2, 2,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 81.8% higher () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/12322-S-Yale-Ave-Chicago-IL-60628/4158399_zpid/,"4,438 sqft","1,485",,
9,Condo,1912,Gas,Central,1 space,$272,"$462,500","2335 W Iowa St APT 2R, Chicago, IL 60622", No, 2, 3, 3,"Home values in Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ukrainian Village will rise 2.5% () in the next year.This home is valued 7.4% lower () than the median home in Ukrainian Village.The median Zestimate for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2335-W-Iowa-St-APT-2R-Chicago-IL-60622/101453826_zpid/,,"1,700",$472/mo,
