,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms,Status
0,Condo,1912,Other,Wall,No Data,$485/month," $174,900","5402 S East View Park #3, Chicago, IL 60615",900, No, 1, 1, 1,"Home values in East Hyde Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Hyde Park will decrease 2.1% (↓) in the next year.This home is valued 26.4% lower (↓) than the median home in East Hyde Park.The median Zestimate® for this neighborhood is $237,756.",https://www.zillow.com/homedetails/5402-S-East-View-Park-3-Chicago-IL-60615/3988525_zpid/,,,Sold
1,Single Family,1895,Forced air,No Data,None,," $22,000","11624 S Yale Ave, Chicago, IL 60628",880, No, 4, 1, 1,"Home values in West Pullman have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Pullman will rise 11.3% (↑) in the next year.This home is valued 77.1% lower (↓) than the median home in West Pullman.The median Zestimate® for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11624-S-Yale-Ave-Chicago-IL-60628/4154415_zpid/,"4,650 sqft",,Sold
2,Multi Family,1918,Forced air,Central,2 spaces,," $480,000","3330 W Hutchinson St, Chicago, IL 60618","1,000", No, 7, 4, 4,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% (↓) in the next year.This home is valued 19.6% higher (↑) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3330-W-Hutchinson-St-Chicago-IL-60618/2079941795_zpid/,,,Sold
3,Condo,1965,Baseboard,No Data,1 space,$260/month," $139,000","7418 N Harlem Ave #3, Chicago, IL 60631",, No, 2, 1, 1,"Home values in Edison Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edison Park will decrease 2.4% (↓) in the next year.This home is valued 61% lower (↓) than the median home in Edison Park.The median Zestimate® for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7418-N-Harlem-Ave-3-Chicago-IL-60631/101287694_zpid/,,,Sold
4,Single Family,1956,Forced air,Central,2 spaces,None," $329,000","3934 N Oriole Ave, Chicago, IL 60634","1,250", No, 4, 2, 2,"Home values in Belmont Heights have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Belmont Heights will fall 3.5% (↓) in the next year.This home is valued 24.5% higher (↑) than the median home in Belmont Heights.The median Zestimate® for this neighborhood is $264,290.",https://www.zillow.com/homedetails/3934-N-Oriole-Ave-Chicago-IL-60634/3597099_zpid/,"3,750 sqft",,Sold
5,Condo,2020,Forced air,Central,1 space,$323/month," $1,070,000","1909 W Schiller St #2E, Chicago, IL 60622","2,300", No, 3, 3, 2,"Home values in Wicker Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wicker Park will increase 1.1% (↑) in the next year.This home is valued 82.7% higher (↑) than the median home in Wicker Park.The median Zestimate® for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1909-W-Schiller-St-2E-Chicago-IL-60622/2079392085_zpid/,, 1,Sold
6,Condo,2002,Forced air,Central,1 space,$305/month," $475,000","3205 N Hoyne Ave APT 3B, Chicago, IL 60618","1,500", No, 3, 2, 2,"Home values in Roscoe Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Roscoe Village will increase 0.6% (↑) in the next year.This home is valued 38.2% lower (↓) than the median home in Roscoe Village.The median Zestimate® for this neighborhood is $768,333.",https://www.zillow.com/homedetails/3205-N-Hoyne-Ave-APT-3B-Chicago-IL-60618/63694932_zpid/,,,Sold
7,Single Family,1924,Gas,No Data,2 spaces,," $53,870","7517 S Wabash Ave, Chicago, IL 60619","4,025", No, 4, 2, 2,"Home values in Chatham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Chatham will decrease 5.4% (↓) in the next year.This home is valued 59.3% lower (↓) than the median home in Chatham.The median Zestimate® for this neighborhood is $132,482.",https://www.zillow.com/homedetails/7517-S-Wabash-Ave-Chicago-IL-60619/4005357_zpid/,"4,024 sqft",,Sold
8,Condo,2002,Forced air,Central,1 space,$706/month," $350,000","645 N Kingsbury St APT 1206, Chicago, IL 60654",985, No, 2, 2, 1,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will decrease 0.3% (↓) in the next year.This home is valued 17.7% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/645-N-Kingsbury-St-APT-1206-Chicago-IL-60654/63699788_zpid/,, 1,Sold
9,Single Family,1880,Forced air,Central,2 spaces,," $325,000","2209 W 21st Pl, Chicago, IL 60608","1,386", No, 2, 2, 2,"Home values in Heart of Chicago have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Heart of Chicago will decrease 7.8% (↓) in the next year.This home is valued 30.8% higher (↑) than the median home in Heart of Chicago.The median Zestimate® for this neighborhood is $248,475.",https://www.zillow.com/homedetails/2209-W-21st-Pl-Chicago-IL-60608/3875166_zpid/,"3,049 sqft",,Sold
10,Single Family,1949,Forced air,Central,2 spaces,," $93,500","3924 E 112th St, Chicago, IL 60617",819, No, 3, 2, 2,"Home values in East Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Side will rise 6.4% (↑) in the next year.This home is valued 27.5% lower (↓) than the median home in East Side.The median Zestimate® for this neighborhood is $128,946.",https://www.zillow.com/homedetails/3924-E-112th-St-Chicago-IL-60617/4172828_zpid/,"4,636 sqft",,Sold
11,Condo,2008,Forced air,Central,1 space,$490/month," $365,000","600 N Fairbanks Ct UNIT 1503, Chicago, IL 60611",900, No, 1, 1, 1,"Home values in Streeterville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% (↓) in the next year.This home is valued 21.3% lower (↓) than the median home in Streeterville.The median Zestimate® for this neighborhood is $463,930.",https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-1503-Chicago-IL-60611/89944132_zpid/,,,Sold
12,Single Family,2008,Gas,Central,2 spaces,None," $262,000","11847 S Vincennes Ave, Chicago, IL 60643","1,967", No, 4, 4, 3,"Home values in Morgan Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Morgan Park will decrease 1.9% (↓) in the next year.This home is valued 69.9% higher (↑) than the median home in Morgan Park.The median Zestimate® for this neighborhood is $154,237.",https://www.zillow.com/homedetails/11847-S-Vincennes-Ave-Chicago-IL-60643/87696467_zpid/,"3,179 sqft", 1,Sold
