,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,zip,median_nhv2,Parking_Binned,Bathrooms_adj,address_clean,lat-lng
0,Condo,1910.0,Gas,Central,,No,249900.0,"5329 S Harper Ave #2, Chicago, IL 60615",1000.0, No,2.0,2.0,2.0,"Home values in Hyde Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Hyde Park will increase 0.8% (↑) in the next year.This home is valued 37% lower (↓) than the median home in Hyde Park.The median Zestimate® for this neighborhood is $396,553.",https://www.zillow.com/homedetails/5329-S-Harper-Ave-2-Chicago-IL-60615/70477657_zpid/,0,60615,396553,No,0.0,5329 S Harper Ave Chicago IL 60615,"[41.798760558651544, -87.58896251138316]"
1,Single Family,1957.0,Forced air,Central,2 spaces,Yes,399000.0,"7144 N Ozark Ave, Chicago, IL 60631",1224.0, No,2.0,2.0,2.0,"Home values in Edison Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edison Park will fall 2.4% (↓) in the next year.This home is valued 12% higher (↑) than the median home in Edison Park.The median Zestimate® for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7144-N-Ozark-Ave-Chicago-IL-60631/3510010_zpid/,0,60631,356353,Yes,0.0,"7144 N Ozark Ave, Chicago, IL 60631","[42.0105906, -87.82028962404709]"
2,Condo,2007.0,Forced air,Central,,No,169898.0,"1673 W Farwell Ave APT 1S, Chicago, IL 60626",775.0, No,2.0,1.0,1.0,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 24.9% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1673-W-Farwell-Ave-APT-1S-Chicago-IL-60626/2122718550_zpid/,0,60626,226102,No,0.0,1673 W Farwell Ave Chicago IL 60626,"[42.00624365, -87.67281299358012]"
3,Condo,2008.0,Gas,Central,2 spaces,No,489900.0,"1400 S Michigan Ave APT 2203, Chicago, IL 60605",1273.0, No,2.0,2.0,2.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 30% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-2203-Chicago-IL-60605/2138603834_zpid/,0,60605,376901,Yes,0.0,1400 S Michigan Ave Chicago IL 60605,"[41.86377655, -87.62454866743403]"
4,Single Family,1971.0,Forced air,Central,4 spaces,Yes,389000.0,"10606 S Leavitt St, Chicago, IL 60643",2179.0, No,3.0,3.0,2.0,"Home values in Beverly have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Beverly will rise 0.8% (↑) in the next year.This home is valued 12.3% higher (↑) than the median home in Beverly.The median Zestimate® for this neighborhood is $346,385.",https://www.zillow.com/homedetails/10606-S-Leavitt-St-Chicago-IL-60643/4146325_zpid/,1,60643,346385,Yes,1.0,"10606 S Leavitt St, Chicago, IL 60643","[41.700669500000004, -87.67690644999999]"
5,Condo,1929.0,,None,,No,1100000.0,"1242 N Lake Shore Dr #9S, Chicago, IL 60610",3000.0, No,3.0,4.0,3.0,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 106.6% higher (↑) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1242-N-Lake-Shore-Dr-9S-Chicago-IL-60610/2077599651_zpid/,1,60610,532399,No,1.0,1242 N Lake Shore Dr Chicago IL 60610,"[41.9053114, -87.62553364357132]"
6,Single Family,1947.0,"Forced air, Gas",None,,Yes,69000.0,"1253 E 96th St, Chicago, IL 60628",1016.0, No,3.0,1.0,1.0,"Home values in 60628 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cottage Grove Heights will decrease 2.7% (↓) in the next year.This home is valued 32.8% lower (↓) than the median home in Cottage Grove Heights.The median Zestimate® for this neighborhood is $102,671.",https://www.zillow.com/homedetails/1253-E-96th-St-Chicago-IL-60628/4135570_zpid/,0,60628,102671,No,0.0,"1253 E 96th St, Chicago, IL 60628","[41.7201647, -87.59263204999999]"
7,Condo,2004.0,Forced air,Central,1 space,No,335000.0,"947 W 14th Pl UNIT 2A, Chicago, IL 60608",1200.0, No,2.0,2.0,1.0,"Home values in University Village - Little Italy have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% (↓) in the next year.This home is valued 4.6% lower (↓) than the median home in University Village - Little Italy.The median Zestimate® for this neighborhood is $351,164.",https://www.zillow.com/homedetails/947-W-14th-Pl-UNIT-2A-Chicago-IL-60608/70449998_zpid/,1,60608,351164,Yes,1.0,947 W 14th Pl Chicago IL 60608,"[41.8623707, -87.6662151]"
8,Multiple Occupancy,1897.0,Gas,None,,Yes,515000.0,"1843 N Whipple St, Chicago, IL 60647",, No,6.0,2.0,2.0,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 27.6% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1843-N-Whipple-St-Chicago-IL-60647/2077599764_zpid/,0,60647,403670,No,0.0,"1843 N Whipple St, Chicago, IL 60647","[41.915067050000005, -87.7036016427013]"
9,Condo,1920.0,"Forced air, Gas",Central,,No,194000.0,"1048 W Lawrence Ave #B, Chicago, IL 60640",1000.0, No,2.0,2.0,2.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 36.1% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1048-W-Lawrence-Ave-B-Chicago-IL-60640/121075421_zpid/,0,60640,303469,No,0.0,1048 W Lawrence Ave Chicago IL 60640,"[41.96914686411559, -87.65668639802108]"
