,Type,Year built,Heating,Cooling,Parking,Lot,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA,zip,median_nhv,location,Parking_Binned,address_clean
0,Single Family,2011.0,Other,Central,2 spaces,5227.0,598900.0,"513 W Aspen Peak Dr, South Jordan, UT 84095",3062.0, No,4.0,3.0,3.0,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 15.1% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/513-W-Aspen-Peak-Dr-South-Jordan-UT-84095/69225888_zpid/,0,Yes,84095,520177.0,South Jordan,Yes,"513 W Aspen Peak Dr, South Jordan, UT 84095"
1,Single Family,1997.0,"Forced air, Gas",Central,,6534.0,476500.0,"485 E Henry Day Ct, Draper, UT 84020",2873.0, No,5.0,3.0,0.0,,https://www.zillow.com/homedetails/485-E-Henry-Day-Ct-Draper-UT-84020/12937659_zpid/,0,Yes,84020,,Draper,No,"485 E Henry Day Ct, Draper, UT 84020"
2,Townhouse,2000.0,,None,2 spaces,1742.0,814900.0,"250 S Main St #1, Alpine, UT 84004",3248.0, Yes,3.0,3.0,2.0,,https://www.zillow.com/homedetails/250-S-Main-St-1-Alpine-UT-84004/2077536899_zpid/,1,Yes,84004,,Alpine,Yes,250 S Main St Alpine UT 84004
3,Townhouse,2000.0,,None,2 spaces,1742.0,864900.0,"250 S Main St #25, Alpine, UT 84004",3248.0, Yes,3.0,3.0,2.0,,https://www.zillow.com/homedetails/250-S-Main-St-25-Alpine-UT-84004/2077536901_zpid/,1,Yes,84004,,Alpine,Yes,250 S Main St Alpine UT 84004
4,Townhouse,2000.0,,None,2 spaces,1742.0,999900.0,"250 S Main St #24, Alpine, UT 84004",4889.0, Yes,3.0,4.0,3.0,,https://www.zillow.com/homedetails/250-S-Main-St-24-Alpine-UT-84004/2077536898_zpid/,1,Yes,84004,,Alpine,Yes,250 S Main St Alpine UT 84004
5,Townhouse,2000.0,,None,2 spaces,1742.0,949900.0,"250 S Main St #2, Alpine, UT 84004",4889.0, Yes,3.0,4.0,3.0,,https://www.zillow.com/homedetails/250-S-Main-St-2-Alpine-UT-84004/2077536897_zpid/,1,Yes,84004,,Alpine,Yes,250 S Main St Alpine UT 84004
6,Townhouse,1996.0,Forced air,Central,2 spaces,1306.0,220000.0,"4498 W 3060 S, West Valley, UT 84120",1200.0, No,2.0,2.0,1.0,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84120 will increase 5.7% (↑) in the next year.This home is valued 28.1% lower (↓) than the median home in 84120.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4498-W-3060-S-West-Valley-UT-84120/12745888_zpid/,1,Yes,84120,306114.0,West Valley,Yes,"4498 W 3060 S, West Valley, UT 84120"
7,Single Family,1984.0,Other,None,2 spaces,6969.0,349900.0,"6481 S Fernbrook Dr, Taylorsville, UT 84129",1704.0, No,4.0,2.0,2.0,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will rise 5.7% (↑) in the next year.This home is valued 7.2% higher (↑) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/6481-S-Fernbrook-Dr-Taylorsville-UT-84129/12834746_zpid/,0,Yes,84129,326516.0,Taylorsville,Yes,"6481 S Fernbrook Dr, Taylorsville, UT 84129"
8,Single Family,1981.0,Other,None,1 space,6098.0,320000.0,"4956 S 5415 W, Salt Lake City, UT 84118",1800.0, No,4.0,2.0,2.0,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84118 will rise 5.2% (↑) in the next year.This home is valued 9.9% higher (↑) than the median home in 84118.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4956-S-5415-W-Salt-Lake-City-UT-84118/12800481_zpid/,0,Yes,84118,291158.0,Salt Lake City,Yes,"4956 S 5415 W, Salt Lake City, UT 84118"
9,Single Family,1986.0,Other,Central,2 spaces,6969.0,330000.0,"2960 S Putnam Dr, West Valley, UT 84128",1360.0, No,3.0,2.0,1.0,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will rise 6.4% (↑) in the next year.This home is valued 2.2% higher (↑) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/2960-S-Putnam-Dr-West-Valley-UT-84128/12724152_zpid/,1,Yes,84128,322819.0,West Valley,Yes,"2960 S Putnam Dr, West Valley, UT 84128"
10,Single Family,1971.0,"Forced air, Gas",Central,,12632.4,675000.0,"8585 S Top Of The World Cir, Cottonwood Heights, UT 84121",2589.0, No,4.0,3.0,0.0,,https://www.zillow.com/homedetails/8585-S-Top-Of-The-World-Cir-Cottonwood-Heights-UT-84121/12888304_zpid/,0,Yes,84121,,Cottonwood Heights,No,"8585 S Top Of The World Cir, Cottonwood Heights, UT 84121"
11,Condo,2008.0,Other,Central,2 spaces,,439900.0,"350 S 200 E UNIT 703, Salt Lake City, UT 84111",1018.0, No,2.0,2.0,2.0,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 4.7% higher (↑) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/350-S-200-E-UNIT-703-Salt-Lake-City-UT-84111/89425648_zpid/,0,No,84111,419987.0,Salt Lake City,Yes,350 S 200 E Salt Lake City UT 84111
12,Single Family,2006.0,Other,Central,3 spaces,14374.8,655000.0,"12882 S Kale Ln, Riverton, UT 84065",6160.0, No,3.0,3.0,2.0,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will rise 4.1% (↑) in the next year.This home is valued 52.2% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/12882-S-Kale-Ln-Riverton-UT-84065/72626459_zpid/,1,Yes,84065,430414.0,Riverton,Yes,"12882 S Kale Ln, Riverton, UT 84065"
13,Single Family,1979.0,Other,None,2 spaces,6969.0,319900.0,"5555 W Poacher Cir, Salt Lake City, UT 84118",1670.0, No,4.0,2.0,2.0,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84118 will increase 5.2% (↑) in the next year.This home is valued 9.9% higher (↑) than the median home in 84118.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/5555-W-Poacher-Cir-Salt-Lake-City-UT-84118/12802114_zpid/,0,Yes,84118,291158.0,Salt Lake City,Yes,"5555 W Poacher Cir, Salt Lake City, UT 84118"
14,Single Family,1950.0,Other,None,2 spaces,6969.0,259000.0,"4327 W 5570 S, Salt Lake City, UT 84118",1082.0, No,3.0,1.0,1.0,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Hoffman Heights will increase 5.2% (↑) in the next year.This home is valued 11% lower (↓) than the median home in Hoffman Heights.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4327-W-5570-S-Salt-Lake-City-UT-84118/12831878_zpid/,0,Yes,84118,291158.0,Salt Lake City,Yes,"4327 W 5570 S, Salt Lake City, UT 84118"
15,Single Family,2007.0,"Forced air, Other, Gas",Central,4 spaces,26136.0,2998000.0,"6146 S Verness Cv, Holladay, UT 84121",11000.0, No,6.0,10.0,6.0,"Home values in Holladay have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84121 will increase 3.5% (↑) in the next year.This home is valued 430.3% higher (↑) than the median home in 84121.The median Zestimate® for this neighborhood is $565,370.",https://www.zillow.com/homedetails/6146-S-Verness-Cv-Holladay-UT-84121/61169752_zpid/,4,Yes,84121,565370.0,Holladay,Yes,"6146 S Verness Cv, Holladay, UT 84121"
16,Single Family,1915.0,,None,1 space,6534.0,529000.0,"2969 S Elizabeth St, Salt Lake City, UT 84106",3211.0, No,5.0,3.0,2.0,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 13% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2969-S-Elizabeth-St-Salt-Lake-City-UT-84106/2077538800_zpid/,1,Yes,84106,468204.0,Salt Lake City,Yes,"2969 S Elizabeth St, Salt Lake City, UT 84106"
17,Single Family,2005.0,,None,4 spaces,30927.6,850000.0,"10217 S Dimple Ln, Sandy, UT 84092",4943.0, No,3.0,3.0,2.0,"Home values in 84092 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84092 will increase 4.4% (↑) in the next year.This home is valued 54% higher (↑) than the median home in 84092.The median Zestimate® for this neighborhood is $552,092.",https://www.zillow.com/homedetails/10217-S-Dimple-Ln-Sandy-UT-84092/2077539581_zpid/,1,Yes,84092,552092.0,Sandy,Yes,"10217 S Dimple Ln, Sandy, UT 84092"
18,Condo,1970.0,,None,1 space,,194000.0,"495 E Creekside Cir APT B, Salt Lake City, UT 84107",826.0, No,2.0,1.0,1.0,"Home values in 84107 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84107 will rise 6% (↑) in the next year.This home is valued 44.6% lower (↓) than the median home in 84107.The median Zestimate® for this neighborhood is $349,940.",https://www.zillow.com/homedetails/495-E-Creekside-Cir-APT-B-Salt-Lake-City-UT-84107/2077539579_zpid/,0,No,84107,349940.0,Salt Lake City,Yes,495 E Creekside Cir Salt Lake City UT 84107
19,Single Family,1969.0,Other,None,1 space,9583.0,365000.0,"3318 W Crestfield Dr, West Valley, UT 84119",2352.0, No,5.0,3.0,3.0,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Blue Haven will increase 5.9% (↑) in the next year.This home is valued 24.3% higher (↑) than the median home in Blue Haven.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3318-W-Crestfield-Dr-West-Valley-UT-84119/12814746_zpid/,0,Yes,84119,293648.0,West Valley,Yes,"3318 W Crestfield Dr, West Valley, UT 84119"
20,Townhouse,2007.0,Other,Central,2 spaces,3920.0,320000.0,"11069 S Topview Rd, South Jordan, UT 84009",2139.0, No,3.0,3.0,2.0,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 25.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11069-S-Topview-Rd-South-Jordan-UT-84009/83813611_zpid/,1,Yes,84009,428858.0,South Jordan,Yes,"11069 S Topview Rd, South Jordan, UT 84009"
21,,2018.0,,None,,,472995.0,"Lot #0171, Toll Brothers at Rosecrest - Noria Collection, Herriman, UT 84096",, Yes,2.0,2.0,2.0,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 8% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-noria-collection/2078783544_zpid/,0,Yes,84096,437903.0,Herriman,No,Lot Toll Brothers at Rosecrest - Noria Collection Herriman UT 84096
