,Type,Year built,Heating,Cooling,Parking,Lot,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,zip,median_nhv,Parking_Binned,address_clean,lat-lng
0,Townhouse,2020.0,Gas,None,2 spaces,435.0,535000.0,"2599 S 700 E, Salt Lake City, UT 84106",1817.0, No,3.0,3.0,2.0,1,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 14.3% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2599-S-700-E-Salt-Lake-City-UT-84106/2079223956_zpid/,Yes,84106,468204.0,Yes,"2599 S 700 E, Salt Lake City, UT 84106","[40.7222041, -111.871131]"
1,Single Family,1924.0,,None,3 spaces,4791.0,325000.0,"20 W Layton Ave, Salt Lake City, UT 84115",1599.0, No,2.0,1.0,1.0,0,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in People's Freeway will rise 6.3% (↑) in the next year.This home is valued 0.3% higher (↑) than the median home in People's Freeway.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/20-W-Layton-Ave-Salt-Lake-City-UT-84115/2102697252_zpid/,Yes,84115,324148.0,Yes,"20 W Layton Ave, Salt Lake City, UT 84115","[40.729952, -111.89170293772756]"
2,Single Family,1907.0,Forced air,Central,,4791.0,375000.0,"415 E 600 S, Salt Lake City, UT 84111",1136.0, No,2.0,1.0,1.0,0,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will rise 5.3% (↑) in the next year.This home is valued 10.7% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/415-E-600-S-Salt-Lake-City-UT-84111/12755895_zpid/,Yes,84111,419987.0,No,"415 E 600 S, Salt Lake City, UT 84111","[40.7562973, -111.8839409]"
3,Multiple Occupancy,1899.0,Other,Central,,,368000.0,"427 E Sego Ave, Salt Lake City, UT 84111",1340.0, No,2.0,2.0,0.0,0,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 12.4% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/427-E-Sego-Ave-Salt-Lake-City-UT-84111/12755942_zpid/,Yes,84111,419987.0,No,"427 E Sego Ave, Salt Lake City, UT 84111","[40.75507205263158, -111.87867078947369]"
4,Condo,1983.0,,None,1 space,,375000.0,"48 W 300 S APT 406N, Salt Lake City, UT 84101",1509.0, No,2.0,2.0,2.0,0,"Home values in Downtown Salt Lake City have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Downtown will decrease 0.3% (↓) in the next year.This home is valued 8.5% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $409,706.",https://www.zillow.com/homedetails/48-W-300-S-APT-406N-Salt-Lake-City-UT-84101/2081196880_zpid/,No,84101,409706.0,Yes,48 W 300 S Salt Lake City UT 84101,"[40.7628046, -111.9182494]"
5,Single Family,1997.0,Other,Central,2 spaces,7840.0,389900.0,"1762 N Earnshaw Ln, Salt Lake City, UT 84116",1959.0, No,3.0,3.0,3.0,0,"Home values in Rose Park have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Rose Park will rise 8% (↑) in the next year.This home is valued 26.3% higher (↑) than the median home in Rose Park.The median Zestimate® for this neighborhood is $308,680.",https://www.zillow.com/homedetails/1762-N-Earnshaw-Ln-Salt-Lake-City-UT-84116/12709412_zpid/,Yes,84116,308680.0,Yes,"1762 N Earnshaw Ln, Salt Lake City, UT 84116","[40.80652686567639, -111.93815469841506]"
6,Single Family,1904.0,Other,Central,2 spaces,3484.0,640000.0,"166 S 1200 E, Salt Lake City, UT 84102",2096.0, No,4.0,2.0,2.0,0,"Home values in East Central have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in East Central will increase 4.1% (↑) in the next year.This home is valued 34.7% higher (↑) than the median home in East Central.The median Zestimate® for this neighborhood is $475,000.",https://www.zillow.com/homedetails/166-S-1200-E-Salt-Lake-City-UT-84102/12753961_zpid/,Yes,84102,475000.0,Yes,"166 S 1200 E, Salt Lake City, UT 84102","[40.76561795, -111.8571026678849]"
7,Condo,1962.0,Radiant,"Refrigerator, Central",1 space,,279000.0,"8 E Hillside Ave APT 405, Salt Lake City, UT 84103",878.0, No,2.0,1.0,1.0,0,"Home values in Capitol Hill have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Capitol Hill will increase 5.8% (↑) in the next year.This home is valued 35.8% lower (↓) than the median home in Capitol Hill.The median Zestimate® for this neighborhood is $434,472.",https://www.zillow.com/homedetails/8-E-Hillside-Ave-APT-405-Salt-Lake-City-UT-84103/2102051976_zpid/,No,84103,434472.0,Yes,8 E Hillside Ave Salt Lake City UT 84103,"[40.774603813564724, -111.89082927391725]"
8,Single Family,2006.0,"Forced air, Gas",Central,3 spaces,24829.2,1325000.0,"1135 N Twickenham Dr, Salt Lake City, UT 84103",6105.0, No,5.0,4.0,3.0,1,"Home values in Capitol Hill have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Capitol Hill will rise 5.8% (↑) in the next year.This home is valued 205% higher (↑) than the median home in Capitol Hill.The median Zestimate® for this neighborhood is $434,472.",https://www.zillow.com/homedetails/1135-N-Twickenham-Dr-Salt-Lake-City-UT-84103/83816452_zpid/,Yes,84103,434472.0,Yes,"1135 N Twickenham Dr, Salt Lake City, UT 84103","[40.79388711040748, -111.8942023992639]"
9,Single Family,1904.0,Forced air,None,,2178.0,360000.0,"668 S Park St, Salt Lake City, UT 84102",1216.0, No,2.0,1.0,1.0,0,"Home values in 84102 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Central City will rise 5.3% (↑) in the next year.This home is valued 15.8% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $427,693.",https://www.zillow.com/homedetails/668-S-Park-St-Salt-Lake-City-UT-84102/12756868_zpid/,Yes,84102,427693.0,No,"668 S Park St, Salt Lake City, UT 84102","[40.75455766666666, -111.875447]"
