,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms
0,Condo,1910,Gas,Central,No Data,$322/mo,$250,"$249,900","5329 S Harper Ave #2, Chicago, IL 60615","1,000", No, 2, 2, 2,"Home values in Hyde Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Hyde Park will increase 0.8% (↑) in the next year.This home is valued 37% lower (↓) than the median home in Hyde Park.The median Zestimate® for this neighborhood is $396,553.",https://www.zillow.com/homedetails/5329-S-Harper-Ave-2-Chicago-IL-60615/70477657_zpid/,,
1,Single Family,1957,Forced air,Central,2 spaces,None,$326,"$399,000","7144 N Ozark Ave, Chicago, IL 60631","1,224", No, 2, 2, 2,"Home values in Edison Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edison Park will fall 2.4% (↓) in the next year.This home is valued 12% higher (↑) than the median home in Edison Park.The median Zestimate® for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7144-N-Ozark-Ave-Chicago-IL-60631/3510010_zpid/,"6,300 sqft",
2,Condo,2007,Forced air,Central,None,$231/month,$219,"$169,898","1673 W Farwell Ave APT 1S, Chicago, IL 60626",775, No, 2, 1, 1,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 24.9% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1673-W-Farwell-Ave-APT-1S-Chicago-IL-60626/2122718550_zpid/,,
3,Condo,2008,Gas,Central,2 spaces,$667/mo,$385,"$489,900","1400 S Michigan Ave APT 2203, Chicago, IL 60605","1,273", No, 2, 2, 2,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 30% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-2203-Chicago-IL-60605/2138603834_zpid/,,
4,Single Family,1971,Forced air,Central,4 spaces,,$179,"$389,000","10606 S Leavitt St, Chicago, IL 60643","2,179", No, 3, 3, 2,"Home values in Beverly have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Beverly will rise 0.8% (↑) in the next year.This home is valued 12.3% higher (↑) than the median home in Beverly.The median Zestimate® for this neighborhood is $346,385.",https://www.zillow.com/homedetails/10606-S-Leavitt-St-Chicago-IL-60643/4146325_zpid/,"6,141 sqft", 1
5,Condo,1929,No Data,No Data,No Data,"$2,849/mo",$367,"$1,100,000","1242 N Lake Shore Dr #9S, Chicago, IL 60610","3,000", No, 3, 4, 3,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 106.6% higher (↑) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1242-N-Lake-Shore-Dr-9S-Chicago-IL-60610/2077599651_zpid/,, 1
6,Single Family,1947,"Forced air, Gas",No Data,No Data,,$68,"$69,000","1253 E 96th St, Chicago, IL 60628","1,016", No, 3, 1, 1,"Home values in 60628 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cottage Grove Heights will decrease 2.7% (↓) in the next year.This home is valued 32.8% lower (↓) than the median home in Cottage Grove Heights.The median Zestimate® for this neighborhood is $102,671.",https://www.zillow.com/homedetails/1253-E-96th-St-Chicago-IL-60628/4135570_zpid/,"5,671 sqft",
7,Condo,2004,Forced air,Central,1 space,$370/month,$279,"$335,000","947 W 14th Pl UNIT 2A, Chicago, IL 60608","1,200", No, 2, 2, 1,"Home values in University Village - Little Italy have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% (↓) in the next year.This home is valued 4.6% lower (↓) than the median home in University Village - Little Italy.The median Zestimate® for this neighborhood is $351,164.",https://www.zillow.com/homedetails/947-W-14th-Pl-UNIT-2A-Chicago-IL-60608/70449998_zpid/,, 1
8,Multiple Occupancy,1897,Gas,No Data,No Data,,,"$515,000","1843 N Whipple St, Chicago, IL 60647",, No, 6, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 27.6% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1843-N-Whipple-St-Chicago-IL-60647/2077599764_zpid/,,
9,Condo,1920,"Forced air, Gas",Central,No Data,$175/mo,$194,"$194,000","1048 W Lawrence Ave #B, Chicago, IL 60640","1,000", No, 2, 2, 2,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 36.1% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1048-W-Lawrence-Ave-B-Chicago-IL-60640/121075421_zpid/,,
