,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,HOA,Half bathrooms
0,Single Family,2013,"Forced air, Gas",Central,2 spaces,"6,298 sqft",$224,"$919,000","2430 Hastings Ave, Evanston, IL 60201","4,111", No, 4, 3, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 84.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2430-Hastings-Ave-Evanston-IL-60201/3515540_zpid/,,
1,Condo,2004,Forced air,Central,1 space,,$328,"$438,000","1720 Maple Ave APT 2320, Evanston, IL 60201","1,335", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 12.1% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Maple-Ave-APT-2320-Evanston-IL-60201/65549500_zpid/,$699/month,
2,Condo,1928,"Other, Gas",Other,1 space,,$279,"$360,000","734 Hinman Ave APT 1, Evanston, IL 60202","1,290", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 9.1% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/734-Hinman-Ave-APT-1-Evanston-IL-60202/3567243_zpid/,$603/mo,
3,Condo,1920,Other,Refrigerator,1 space,,$235,"$235,000","670 Hinman Ave APT 1C, Evanston, IL 60202","1,000", No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 28.8% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/670-Hinman-Ave-APT-1C-Evanston-IL-60202/3567274_zpid/,$229/mo,
4,Townhouse,2020,Gas,Central,2 spaces,"3,920 sqft",$168,"$639,000","1815 Dodge Ave, Evanston, IL 60201","3,800", Yes, 4, 5, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will decrease 2.3% (↓) in the next year.This home is valued 28.2% higher (↑) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1815-Dodge-Ave-Evanston-IL-60201/101441899_zpid/,, 1
5,Multi Family,1928,Gas,No Data,2 spaces,,No Data,"$425,000","1450 Pitner Ave, Evanston, IL 60201",, No, 4, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 14.7% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1450-Pitner-Ave-Evanston-IL-60201/2077769407_zpid/,,
6,Condo,1953,Gas,No Data,No Data,,$132,"$138,600","1412 Brummel St #2E, Evanston, IL 60202","1,050", No, 3, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 58% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1412-Brummel-St-2E-Evanston-IL-60202/3542801_zpid/,$300/mo,
7,Condo,1932,No Data,No Data,1 space,,$146,"$249,000","812 Dobson St APT 3E, Evanston, IL 60202","1,702", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 24.5% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/812-Dobson-St-APT-3E-Evanston-IL-60202/2077773327_zpid/,$405/month,
8,Condo,2009,"Forced air, Gas",Central,1 space,,$316,"$395,000","2536 Mcdaniel Ave #201, Evanston, IL 60201","1,250", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 20.8% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2536-Mcdaniel-Ave-201-Evanston-IL-60201/245564191_zpid/,$483/mo,
9,Condo,1928,Other,Wall,None,,$219,"$219,000","2503 Prairie Ave APT 2I, Evanston, IL 60201","1,000", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 56.1% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2503-Prairie-Ave-APT-2I-Evanston-IL-60201/3517022_zpid/,$380/month,
