,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
0,Townhouse,1997,Forced air,Central,1 space,$371/month,No Data,$219,"$450,000","1043 Depot St, Glenview, IL 60025","2,059", No, 2, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 2.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1043-Depot-St-Glenview-IL-60025/2077768851_zpid/
1,Single Family,2001,Gas,Central,2 spaces,$40/month,"9,160 sqft",$283,"$799,900","1679 Patriot Blvd, Glenview, IL 60026","2,822", No, 5, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 35.2% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1679-Patriot-Blvd-Glenview-IL-60026/58876716_zpid/
2,Single Family,1955,Forced air,Central,2 spaces,,"5,440 sqft",$407,"$498,000","325 Nordica Ave, Glenview, IL 60025","1,224", No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 7.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/325-Nordica-Ave-Glenview-IL-60025/3513381_zpid/
3,Single Family,2016,Forced air,Central,3 spaces,,"10,127 sqft",$269,"$1,534,000","337 Lincoln St, Glenview, IL 60025","5,710", No, 6, 8, 7, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 231.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/337-Lincoln-St-Glenview-IL-60025/3472183_zpid/
4,Single Family,1954,"Forced air, Gas",Central,3 spaces,,No Data,,"$375,000","3210 Thornberry Dr, Glenview, IL 60025",, No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 18.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3210-Thornberry-Dr-Glenview-IL-60025/2077802990_zpid/
5,Townhouse,1970,Forced air,Central,2 spaces,$382/month,No Data,No Data,"$449,000","1708 Wildberry Dr UNIT A, Glenview, IL 60025",, No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 2.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1708-Wildberry-Dr-UNIT-A-Glenview-IL-60025/2077803208_zpid/
6,Single Family,1976,Gas,Central,2 spaces,,"10,454 sqft",$258,"$550,000","1125 Highland Ln, Glenview, IL 60025","2,132", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 19% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1125-Highland-Ln-Glenview-IL-60025/3352366_zpid/
7,Townhouse,2004,Forced air,Central,2 spaces,$612/month,No Data,$219,"$789,000","1869 Admiral Ct, Glenview, IL 60026","3,600", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 33.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1869-Admiral-Ct-Glenview-IL-60026/2077806456_zpid/
8,Mobile / Manufactured,2007,Electric,Central,2 spaces,,,,"$78,000","48 N Branch Rd, Winnetka, IL 60093",, No, 5, 2, 2,,"Home values in 60093 have fallen 0.9 % (↓) over the past 12 months.Zillow predicts the home values in 60093 will fall 1.3% (↓) in the next year.This home is valued 92.9% lower (↓) than the median home in 60093.The median Zestimate® for this neighborhood is $1,091,856.",https://www.zillow.com/homedetails/48-N-Branch-Rd-Winnetka-IL-60093/2077810673_zpid/
9,Condo,No Data,Baseboard,No Data,2 spaces,$315/month,,No Data,"$119,900","10389 Dearlove Rd APT 2J, Glenview, IL 60025",, No, 1, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 74.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/10389-Dearlove-Rd-APT-2J-Glenview-IL-60025/2090123163_zpid/
10,Single Family,1959,"Forced air, Gas",Central,6 spaces,,0.27 Acres,$219,"$575,000","1113 Pfingsten Rd, Glenview, IL 60025","2,620", No, 6, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 24.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1113-Pfingsten-Rd-Glenview-IL-60025/3352121_zpid/
11,Single Family,2001,No Data,Central,3 spaces,,0.41 Acres,$403,"$2,150,000","1509 Monterey Dr, Glenview, IL 60026","5,337", No, 4, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 263.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1509-Monterey-Dr-Glenview-IL-60026/65543244_zpid/
12,Single Family,1966,Forced air,Central,2 spaces,,0.37 acres,$273,"$617,700","1409 Pleasant Ln, Glenview, IL 60025","2,264", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 33.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1409-Pleasant-Ln-Glenview-IL-60025/3347902_zpid/
13,Condo,2005,"Forced air, Gas",Central,2 spaces,$620/mo,,$340,"$519,000","2350 Chestnut Ave #N-301, Glenview, IL 60026","1,525", No, 3, 2, 2,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 12.3% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2350-Chestnut-Ave-N-301-Glenview-IL-60026/2077822340_zpid/
14,Single Family,1968,"Forced air, Gas",Central,2 spaces,,"10,293 sqft",$249,"$725,000","323 Bel Air Dr, Glenview, IL 60025","2,907", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 56.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/323-Bel-Air-Dr-Glenview-IL-60025/3471757_zpid/
15,Single Family,2020,Forced air,Central,2 spaces,,0.4 acres,$231,"$1,550,000","2339 Larkdale Dr, Glenview, IL 60025","6,710", Yes, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 235.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2339-Larkdale-Dr-Glenview-IL-60025/2094689683_zpid/
16,Townhouse,2011,"Forced air, Gas",Central,2 spaces,,No Data,$238,"$499,000","2858 Commons Dr, Glenview, IL 60026","2,100", No, 3, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 15.7% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2858-Commons-Dr-Glenview-IL-60026/113963298_zpid/
17,Single Family,1957,"Forced air, Gas",Central,3 spaces,,0.31 Acres,$275,"$1,199,913","1040 Woodlawn Rd, Glenview, IL 60025","4,366", No, 6, 5, 3, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 159.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1040-Woodlawn-Rd-Glenview-IL-60025/3347113_zpid/
18,Condo,1982,Gas,Central,1 space,$236/mo,,$157,"$157,400","4134 Cove Ln APT F, Glenview, IL 60025","1,000", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 65.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4134-Cove-Ln-APT-F-Glenview-IL-60025/3350991_zpid/
19,Single Family,1954,"Forced air, Radiant",Central,2 spaces,,0.45 acres,$451,"$2,280,000","1010 Barton Ct, Glenview, IL 60025","5,053", Yes, 6, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 393.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1010-Barton-Ct-Glenview-IL-60025/3356751_zpid/
