,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
0,Single Family,1968,"Forced air, Gas",Central,2 spaces,"10,018 sqft",$191,"$470,000","928 Royal Blackheath Ct, Naperville, IL 60563","2,464", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 46.2% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/928-Royal-Blackheath-Ct-Naperville-IL-60563/4505029_zpid/,,For Sale
1,Single Family,1999,"Forced air, Gas",Central,3 spaces,0.29 Acres,$160,"$529,900","1452 Chelsea Ln, Naperville, IL 60565","3,305", No, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 33.7% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1452-Chelsea-Ln-Naperville-IL-60565/4547269_zpid/,,For Sale
2,Condo,1989,Forced air,Central,1 space,,$187,"$214,500","1292 Rhodes Ln #1292, Naperville, IL 60540","1,149", No, 2, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Fields will increase 1.3% (↑) in the next year.This home is valued 48.1% lower (↓) than the median home in The Fields.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1292-Rhodes-Ln-1292-Naperville-IL-60540/2077643348_zpid/,$238/month,For Sale
3,Single Family,1915,Gas,No Data,1 space,"10,018 sqft",$626,"$349,900","1131 N Washington St, Naperville, IL 60563",559, No, 1, 1, 1,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 8.9% higher (↑) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1131-N-Washington-St-Naperville-IL-60563/63770075_zpid/,,For Sale
4,Single Family,1986,No Data,No Data,2 spaces,0.35 Acres,$217,"$739,900","512 Braemar Ave, Naperville, IL 60563","3,406", No, 5, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Eagle Chase will increase 0.9% (↑) in the next year.This home is valued 130.2% higher (↑) than the median home in Eagle Chase.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/512-Braemar-Ave-Naperville-IL-60563/4526790_zpid/,,For Sale
5,Single Family,1998,"Forced air, Gas",Central,3 spaces,"6,098 sqft",$153,"$435,000","2008 Sudbury St, Naperville, IL 60564","2,834", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will increase 0.7% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2008-Sudbury-St-Naperville-IL-60564/2077645706_zpid/,,For Sale
6,Townhouse,1984,"Forced air, Gas",Central,2 spaces,"3,920 sqft",$253,"$565,000","476 Le Provence Cir, Naperville, IL 60540","2,236", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 36.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/476-Le-Provence-Cir-Naperville-IL-60540/4549495_zpid/,,For Sale
7,Townhouse,1996,Gas,Central,1 space,7.3 acres,$142,"$200,000","1319 Woodchuck Ln, Naperville, IL 60563","1,406", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 37.8% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1319-Woodchuck-Ln-Naperville-IL-60563/4507021_zpid/,$299/month,For Sale
8,Condo,2019,Forced air,Central,4 spaces,,$140,"$599,900","942 N Loomis St, Naperville, IL 60563","4,285", No, 5, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Saybrook will rise 0.9% (↑) in the next year.This home is valued 86.7% higher (↑) than the median home in Saybrook.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/942-N-Loomis-St-Naperville-IL-60563/2081513420_zpid/,None,For Sale
9,Single Family,1978,Forced air,Central,2 spaces,"9,147 sqft",$185,"$425,000","909 Stonehenge Ct, Naperville, IL 60563","2,297", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brookdale will rise 0.9% (↑) in the next year.This home is valued 32.2% higher (↑) than the median home in Brookdale.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/909-Stonehenge-Ct-Naperville-IL-60563/4503215_zpid/,$296/month,For Sale
