,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
0,Single Family,1957,Forced air,Central,5 spaces,None,"7,993 sqft",$191,"$215,000","4001 W 106th Pl, Oak Lawn, IL 60453","1,126", No, 3, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4001-W-106th-Pl-Oak-Lawn-IL-60453/4085154_zpid/,
1,Single Family,1978,Gas,Central,2 spaces,,"9,918 sqft",$172,"$325,900","4016 W 91st Pl, Oak Lawn, IL 60453","1,897", No, 3, 4, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 54.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4016-W-91st-Pl-Oak-Lawn-IL-60453/4056563_zpid/, 1
2,Single Family,1964,Baseboard,Central,2 spaces,,"7,448 sqft",$116,"$299,900","9528 S Kostner Ave, Oak Lawn, IL 60453","2,592", No, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 42.4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9528-S-Kostner-Ave-Oak-Lawn-IL-60453/4069901_zpid/, 1
3,Condo,2006,"Forced air, Gas",Central,2 spaces,$245/mo,,$161,"$239,900","5100 W 96th St APT 220, Oak Lawn, IL 60453","1,487", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 13.9% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5100-W-96th-St-APT-220-Oak-Lawn-IL-60453/85807278_zpid/,
4,Single Family,1972,"Forced air, Gas",Central,2 spaces,,0.27 Acres,$143,"$289,000","6701 W 87th Pl, Oak Lawn, IL 60453","2,020", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 37.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6701-W-87th-Pl-Oak-Lawn-IL-60453/4062772_zpid/,
5,Single Family,2020,Gas,Central,2 spaces,,No Data,$184,"$519,000","9201 Melvina Ave, Oak Lawn, IL 60453","2,814", Yes, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 146.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9201-Melvina-Ave-Oak-Lawn-IL-60453/2077847003_zpid/, 1
6,Single Family,1965,Gas,No Data,2 spaces,,"6,041 sqft",$177,"$374,900","10619 Lockwood Ct, Oak Lawn, IL 60453","2,120", No, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 78.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10619-Lockwood-Ct-Oak-Lawn-IL-60453/4087379_zpid/, 1
7,Single Family,2002,Forced air,Central,2 spaces,None,"5,771 sqft",$229,"$389,000","5704 W 90th St, Oak Lawn, IL 60453","1,700", No, 4, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 84.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5704-W-90th-St-Oak-Lawn-IL-60453/60204960_zpid/,
8,Condo,1969,Electric,No Data,1 space,$257/mo,,,"$94,900","10308 S Pulaski Rd APT 106A, Oak Lawn, IL 60453",, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 54.9% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10308-S-Pulaski-Rd-APT-106A-Oak-Lawn-IL-60453/4085403_zpid/,
9,Condo,1975,Other,Central,1 space,$210/month,,$154,"$169,900","7100 W 95th St APT 303, Oak Lawn, IL 60453","1,100", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 19.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/7100-W-95th-St-APT-303-Oak-Lawn-IL-60453/4062929_zpid/,
