,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms
0,Condo,1968,Baseboard,Wall,1 space,$351/month,$169,"$168,800","248 S Marion St APT 201, Oak Park, IL 60302","1,000", No, 2, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 60.3% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/248-S-Marion-St-APT-201-Oak-Park-IL-60302/3804989_zpid/,,
1,Condo,No Data,Gas,No Data,None,$299/month,$170,"$112,000","421 S Wisconsin Ave #3, Oak Park, IL 60302",660, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 73.6% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/421-S-Wisconsin-Ave-3-Oak-Park-IL-60302/2077732295_zpid/,,
2,Single Family,1928,Forced air,No Data,2 spaces,,$185,"$475,000","1115 N Oak Park Ave, Oak Park, IL 60302","2,572", No, 4, 4, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 11.8% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1115-N-Oak-Park-Ave-Oak-Park-IL-60302/3800747_zpid/,"8,145 sqft", 2
3,Condo,1928,Other,Refrigerator,1 space,$355/mo,$140,"$126,000","501 N Harlem Ave APT 1, Oak Park, IL 60302",900, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 70.4% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/501-N-Harlem-Ave-APT-1-Oak-Park-IL-60302/61960360_zpid/,,
4,Single Family,1898,No Data,Central,2 spaces,,$348,"$575,000","325 N Maple Ave, Oak Park, IL 60302","1,650", No, 5, 3, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 35.3% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/325-N-Maple-Ave-Oak-Park-IL-60302/2077735811_zpid/,No Data,
5,Single Family,1903,"Other, Gas",Central,2 spaces,,$323,"$735,000","708 Wenonah Ave, Oak Park, IL 60304","2,278", No, 4, 3, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 98.8% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/708-Wenonah-Ave-Oak-Park-IL-60304/3815381_zpid/,"6,250 sqft", 1
6,Condo,1925,Forced air,Central,None,$370/month,No Data,"$290,000","1130 Washington Blvd APT 3A, Oak Park, IL 60302",, No, 3, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 31.8% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1130-Washington-Blvd-APT-3A-Oak-Park-IL-60302/2077738165_zpid/,,
7,Single Family,1899,Radiant,Central,2 spaces,None,$279,"$474,900","836 N Cuyler Ave, Oak Park, IL 60302","1,700", No, 4, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 11.7% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/836-N-Cuyler-Ave-Oak-Park-IL-60302/3799322_zpid/,"6,298 sqft",
8,Single Family,1898,"Radiant, Gas",Central,7 spaces,,$243,"$625,000","301 S Euclid Ave, Oak Park, IL 60302","2,575", No, 4, 3, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 47% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/301-S-Euclid-Ave-Oak-Park-IL-60302/3806304_zpid/,"8,698 sqft",
9,Single Family,1912,Gas,No Data,2 spaces,,$371,"$214,900","240 Flournoy St, Oak Park, IL 60304",580, No, 2, 1, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 41.9% lower (↓) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/240-Flournoy-St-Oak-Park-IL-60304/3814194_zpid/,"3,005 sqft",
