,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA
0,Single Family,2004,No Data,No Data,5 spaces,1.54 Acres,$670,"$4,850,000","7701 N Westhills Trl, Park City, UT 84098","7,240", No, 5, 7, 5, 2,,https://www.zillow.com/homedetails/7701-N-Westhills-Trl-Park-City-UT-84098/68854701_zpid/,
1,Single Family,2018,"Forced air, Radiant, Gas",Central,5 spaces,1.32 Acres,"$1,633","$10,000,000","800 Hollyhock St, Park City, UT 84098","6,124", Yes, 4, 5,,,,https://www.zillow.com/homedetails/800-Hollyhock-St-Park-City-UT-84098/111973576_zpid/,
2,,,,,,,,"$660,900","6699 Yarrow Ln, Park City, UT 84098",, Yes, 3, 3, 2, 1,,https://www.zillow.com/community/eclipse-at-silver-creek-village/2080357507_zpid/,
3,Single Family,2020,No Data,No Data,3 spaces,0.52 Acres,$161,"$847,000","409 E Creek Side Way #110, Coalville, UT 84017","5,254", No, 2, 3, 2, 1,,https://www.zillow.com/homedetails/409-E-Creek-Side-Way-110-Coalville-UT-84017/2077646532_zpid/,
4,,,,,,,,"$674,900","6704 Mountain Maple Dr, Park City, UT 84098",, Yes, 3, 3, 2, 1,,https://www.zillow.com/community/eclipse-at-silver-creek-village/2077989937_zpid/,
5,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$315,"$829,900","14468 N Buck Horn Trl #50D, Heber City, UT 84032","2,635", Yes, 3, 4, 3, 1,,https://www.zillow.com/homedetails/14468-N-Buck-Horn-Trl-50D-Heber-City-UT-84032/2077661150_zpid/,
6,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$293,"$729,900","14474 N Buck Horn Trl #50C, Heber City, UT 84032","2,494", Yes, 3, 3, 2, 1,,https://www.zillow.com/homedetails/14474-N-Buck-Horn-Trl-50C-Heber-City-UT-84032/2077661936_zpid/,
7,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$267,"$729,900","14459 N Buck Horn Trl #48B, Heber City, UT 84032","2,735", Yes, 4, 4, 4,,,https://www.zillow.com/homedetails/14459-N-Buck-Horn-Trl-48B-Heber-City-UT-84032/2077662329_zpid/,
8,Single Family,2017,No Data,No Data,No Data,1.55 Acres,$729,"$6,500,000","7550 Purple Sage, Park City, UT 84098","8,922", No, 5, 8, 6, 2,,https://www.zillow.com/homedetails/7550-Purple-Sage-Park-City-UT-84098/111976188_zpid/,
9,Condo,2000,No Data,No Data,1 space,,$122,"$94,900","3855 N Grand Summit Dr #320Q4, Park City, UT 84098",779, No, 1, 1, 1,,,https://www.zillow.com/homedetails/3855-N-Grand-Summit-Dr-320Q4-Park-City-UT-84098/2077669416_zpid/,$290/mo
10,Condo,2000,"Forced air, Gas",No Data,No Data,,$151,"$118,000","3855 Grand Summit Dr #463-Q2, Park City, UT 84098",781, No, 1, 1, 1,,,https://www.zillow.com/homedetails/3855-Grand-Summit-Dr-463-Q2-Park-City-UT-84098/2077672134_zpid/,
11,Single Family,1999,"Radiant, Gas",No Data,3 spaces,2.14 Acres,$763,"$4,250,000","2692 Ruminant Rd, Park City, UT 84060","5,568", No, 4, 5, 4, 1,,https://www.zillow.com/homedetails/2692-Ruminant-Rd-Park-City-UT-84060/68841852_zpid/,
12,Condo,1988,No Data,No Data,No Data,,$430,"$219,500","1940 Prospector Ave #113, Park City, UT 84060",510, No, 1, 1, 1,,,https://www.zillow.com/homedetails/1940-Prospector-Ave-113-Park-City-UT-84060/68840438_zpid/,$326/mo
13,,,,,,,,"$534,900","1337 Daylily Ln, Park City, UT 84098",, Yes, 3, 3, 2, 1,,https://www.zillow.com/community/skyscape-at-silver-creek-village/2078031106_zpid/,
14,Townhouse,2005,No Data,No Data,2 spaces,"2,613 sqft",$400,"$899,999","5679 Oslo Ln, Park City, UT 84098","2,250", No, 4, 4, 3, 1,,https://www.zillow.com/homedetails/5679-Oslo-Ln-Park-City-UT-84098/89092252_zpid/,
15,,,,,,,,"$534,900","1321 Daylily Ln, Park City, UT 84098",, Yes, 3, 3, 2, 1,,https://www.zillow.com/community/skyscape-at-silver-creek-village/2078031107_zpid/,
16,Townhouse,1986,No Data,No Data,3 spaces,"4,356 sqft",$429,"$850,000","1370 W Quail Meadow Rd #17, Park City, UT 84098","1,980", No, 3, 3, 3,,,https://www.zillow.com/homedetails/1370-W-Quail-Meadow-Rd-17-Park-City-UT-84098/2077707518_zpid/,
17,,,,,,,,"$622,900","6708 Yarrow Ln, Park City, UT 84098",, Yes, 3, 3, 2, 1,,https://www.zillow.com/community/eclipse-at-silver-creek-village/2078500967_zpid/,
18,Single Family,1994,Forced air,No Data,3 spaces,"7,405 sqft",$352,"$849,000","4106 Rasmussen Rd, Park City, UT 84098","2,412", No, 4, 3, 2, 1,,https://www.zillow.com/homedetails/4106-Rasmussen-Rd-Park-City-UT-84098/68521596_zpid/,
19,Townhouse,1989,No Data,No Data,No Data,435 sqft,$391,"$949,000","4034 Saddleback Rd, Park City, UT 84098","2,430", No, 3,,,,,https://www.zillow.com/homedetails/4034-Saddleback-Rd-Park-City-UT-84098/2077717974_zpid/,
20,Single Family,1999,No Data,No Data,2 spaces,"2,613 sqft",$865,"$2,675,000","329 Ontario Ave, Park City, UT 84060","3,094", No, 3, 4, 3, 1,,https://www.zillow.com/homedetails/329-Ontario-Ave-Park-City-UT-84060/68853220_zpid/,
21,Single Family,2002,Forced air,"Central, Other",1 space,"1,742 sqft",$892,"$2,100,000","1202 Lowell Ave, Park City, UT 84060","2,354", No, 3, 3,,,,https://www.zillow.com/homedetails/1202-Lowell-Ave-Park-City-UT-84060/68847601_zpid/,
22,Condo,2009,Forced air,Central,1 space,,$977,"$1,750,000","2100 W Frostwood Blvd #7121, Park City, UT 84098","1,792", No, 3, 4,,,,https://www.zillow.com/homedetails/2100-W-Frostwood-Blvd-7121-Park-City-UT-84098/2077730822_zpid/,"$3,002/mo"
23,Condo,2007,"None, Other",Central,No Data,,$849,"$2,395,000","3558 N Escala Ct #354, Park City, UT 84098","2,820", No, 4, 5, 4, 1,,https://www.zillow.com/homedetails/3558-N-Escala-Ct-354-Park-City-UT-84098/2095533210_zpid/,"$4,208/mo"
24,Single Family,1999,No Data,No Data,2 spaces,"3,484 sqft",$472,"$699,000","1039 Lincoln Ln, Park City, UT 84098","1,480", No, 3, 3, 2, 1,,https://www.zillow.com/homedetails/1039-Lincoln-Ln-Park-City-UT-84098/68853251_zpid/,
25,Condo,1983,"Other, Stove, Gas",Central,No Data,,$485,"$359,000","2000 Prospector Ave #206, Park City, UT 84060",740, No, 2, 2, 2,,,https://www.zillow.com/homedetails/2000-Prospector-Ave-206-Park-City-UT-84060/68850170_zpid/,$500/mo
