,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
0,Single Family,2011,Other,Central,2 spaces,"5,227 sqft",$196,"$598,900","513 W Aspen Peak Dr, South Jordan, UT 84095","3,062", No, 4, 3, 3,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 15.1% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/513-W-Aspen-Peak-Dr-South-Jordan-UT-84095/69225888_zpid/,,
1,Single Family,1997,"Forced air, Gas",Central,No Data,"6,534 sqft",$166,"$476,500","485 E Henry Day Ct, Draper, UT 84020","2,873", No, 5,,,,https://www.zillow.com/homedetails/485-E-Henry-Day-Ct-Draper-UT-84020/12937659_zpid/,,
2,Townhouse,No Data,No Data,No Data,2 spaces,"1,742 sqft",$251,"$814,900","250 S Main St #1, Alpine, UT 84004","3,248", Yes, 3, 3, 2,,https://www.zillow.com/homedetails/250-S-Main-St-1-Alpine-UT-84004/2077536899_zpid/, 1,
3,Townhouse,No Data,No Data,No Data,2 spaces,"1,742 sqft",$266,"$864,900","250 S Main St #25, Alpine, UT 84004","3,248", Yes, 3, 3, 2,,https://www.zillow.com/homedetails/250-S-Main-St-25-Alpine-UT-84004/2077536901_zpid/, 1,
4,Townhouse,No Data,No Data,No Data,2 spaces,"1,742 sqft",$205,"$999,900","250 S Main St #24, Alpine, UT 84004","4,889", Yes, 3, 4, 3,,https://www.zillow.com/homedetails/250-S-Main-St-24-Alpine-UT-84004/2077536898_zpid/, 1,
5,Townhouse,No Data,No Data,No Data,2 spaces,"1,742 sqft",$194,"$949,900","250 S Main St #2, Alpine, UT 84004","4,889", Yes, 3, 4, 3,,https://www.zillow.com/homedetails/250-S-Main-St-2-Alpine-UT-84004/2077536897_zpid/, 1,
6,Townhouse,1996,Forced air,Central,2 spaces,"1,306 sqft",$183,"$220,000","4498 W 3060 S, West Valley, UT 84120","1,200", No, 2, 2, 1,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84120 will increase 5.7% (↑) in the next year.This home is valued 28.1% lower (↓) than the median home in 84120.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4498-W-3060-S-West-Valley-UT-84120/12745888_zpid/, 1,
7,Single Family,1984,Other,None,2 spaces,"6,969 sqft",$205,"$349,900","6481 S Fernbrook Dr, Taylorsville, UT 84129","1,704", No, 4, 2, 2,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will rise 5.7% (↑) in the next year.This home is valued 7.2% higher (↑) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/6481-S-Fernbrook-Dr-Taylorsville-UT-84129/12834746_zpid/,,
8,Single Family,1981,Other,None,1 space,"6,098 sqft",$178,"$320,000","4956 S 5415 W, Salt Lake City, UT 84118","1,800", No, 4, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84118 will rise 5.2% (↑) in the next year.This home is valued 9.9% higher (↑) than the median home in 84118.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4956-S-5415-W-Salt-Lake-City-UT-84118/12800481_zpid/,,
9,Single Family,1986,Other,Central,2 spaces,"6,969 sqft",$243,"$330,000","2960 S Putnam Dr, West Valley, UT 84128","1,360", No, 3, 2, 1,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will rise 6.4% (↑) in the next year.This home is valued 2.2% higher (↑) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/2960-S-Putnam-Dr-West-Valley-UT-84128/12724152_zpid/, 1,
