,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
0,Single Family,1953,Forced air,Central,6 spaces,None,"5,183 sqft",$279,"$309,786","3838 Lee St, Skokie, IL 60076","1,111", No, 3, 1, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 0.8% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/3838-Lee-St-Skokie-IL-60076/3538410_zpid/,
1,Condo,1970,"Baseboard, Gas",Wall,1 space,$223/mo,,$161,"$145,000","5220 Oakton St APT 204, Skokie, IL 60077",900, No, 1, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 50.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5220-Oakton-St-APT-204-Skokie-IL-60077/3535547_zpid/,
2,Single Family,1958,Forced air,Central,1 space,None,"7,884 sqft",$186,"$324,900","9244 N Tripp Ave, Skokie, IL 60076","1,746", No, 3, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 4% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9244-N-Tripp-Ave-Skokie-IL-60076/2077752112_zpid/, 1
3,Single Family,1964,Forced air,Central,2 spaces,None,"7,736 sqft",$171,"$479,000","4633 Elm Ter, Skokie, IL 60076","2,800", No, 4, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 53.4% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4633-Elm-Ter-Skokie-IL-60076/3536040_zpid/, 1
4,Single Family,1930,Forced air,Central,2 spaces,,"9,583 sqft",$233,"$929,000","7930 Kildare Ave, Skokie, IL 60076","3,994", No, 5, 4, 3,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 197.5% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7930-Kildare-Ave-Skokie-IL-60076/3545900_zpid/, 1
5,Condo,1976,"Forced air, Electric",Central,1 space,$449/mo,,$139,"$215,000","4940 Foster St APT 306, Skokie, IL 60077","1,550", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 27% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4940-Foster-St-APT-306-Skokie-IL-60077/3525154_zpid/,
6,Single Family,1950,"Forced air, Gas",Central,2 spaces,,"6,198 sqft",$233,"$374,900","3839 Dobson St, Skokie, IL 60076","1,608", No, 4, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 20% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/3839-Dobson-St-Skokie-IL-60076/3544984_zpid/, 1
7,Single Family,1954,Forced air,Central,2 spaces,,"5,410 sqft",$228,"$399,900","8221 Kildare Ave, Skokie, IL 60076","1,752", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 28% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8221-Kildare-Ave-Skokie-IL-60076/3537462_zpid/, 1
8,Single Family,1957,Forced air,Central,1 space,None,"6,141 sqft",$150,"$409,000","8709 Karlov Ave, Skokie, IL 60076","2,730", No, 3, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will decrease 2.1% (↓) in the next year.This home is valued 31% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8709-Karlov-Ave-Skokie-IL-60076/3536137_zpid/, 1
9,Single Family,1968,Gas,Central,None,,"3,049 sqft",$208,"$415,000","5412 Main St, Skokie, IL 60077","2,000", No, 3, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 40.8% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5412-Main-St-Skokie-IL-60077/3534100_zpid/, 1
10,Single Family,1955,Gas,Central,1 space,,"6,359 sqft",$126,"$250,000","9427 Long Ave, Skokie, IL 60077","1,992", No, 3, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 15.2% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9427-Long-Ave-Skokie-IL-60077/3524437_zpid/,
11,Single Family,1958,Forced air,Central,2 spaces,,"7,652 sqft",$309,"$519,000","4228 Suffield Ct, Skokie, IL 60076","1,679", No, 4, 3, 3,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 66.2% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4228-Suffield-Ct-Skokie-IL-60076/3524067_zpid/,
12,Condo,1976,Forced air,Central,1 space,$453/month,,$133,"$199,000","4940 Foster St APT 407, Skokie, IL 60077","1,500", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 32.5% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4940-Foster-St-APT-407-Skokie-IL-60077/3525165_zpid/,
13,Single Family,1968,"Forced air, Gas",Central,No Data,,"3,075 sqft",$228,"$255,000","7523 N Kostner Ave, Skokie, IL 60076","1,120", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 18.3% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7523-N-Kostner-Ave-Skokie-IL-60076/2077863833_zpid/, 1
14,Condo,2008,Forced air,Central,1 space,$413/month,,$225,"$249,900","9725 Woods Dr UNIT 806, Skokie, IL 60077","1,111", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 15.2% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9725-Woods-Dr-UNIT-806-Skokie-IL-60077/2077864369_zpid/,
15,Condo,1977,Baseboard,No Data,None,$339/month,,$149,"$149,000","8710 Skokie Blvd #3BS, Skokie, IL 60077","1,000", No, 2, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 49.4% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8710-Skokie-Blvd-3BS-Skokie-IL-60077/2077875895_zpid/, 1
16,Single Family,1954,Forced air,Central,1 space,,"7,710 sqft",$357,"$449,000","7101 Le Claire Ave, Skokie, IL 60077","1,257", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Fairview will decrease 2.1% (↓) in the next year.This home is valued 52.4% higher (↑) than the median home in Fairview.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/7101-Le-Claire-Ave-Skokie-IL-60077/3554572_zpid/,
17,Condo,1978,Forced air,Central,38 spaces,$405/month,,$184,"$187,000","4901 Golf Rd APT 404, Skokie, IL 60077","1,015", No, 1, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 36.5% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4901-Golf-Rd-APT-404-Skokie-IL-60077/3525295_zpid/,
