,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
0,Condo,2020,Forced air,Central,4 spaces,$120/month,$314,"$696,000", 3, 3, 2, 1,3905-Clawson-Rd-UNIT-9-Austin-TX-78704,https://www.zillow.com/homedetails/3905-Clawson-Rd-UNIT-9-Austin-TX-78704/306646650_zpid/,
1,Single Family,1972,"Forced air, Electric, Gas",Central,2 spaces,,$344,"$1,150,000", 5, 5, 5,,7109-Montana-Norte-Austin-TX-78731,https://www.zillow.com/homedetails/7109-Montana-Norte-Austin-TX-78731/29353074_zpid/,0.29 Acres
2,Single Family,2020,Forced air,Central,4 spaces,None,$267,"$484,900", 3, 2, 2,,Austin-TX-78725,https://www.zillow.com/homedetails/Austin-TX-78725/2077632063_zpid/,"8,398 sqft"
3,Single Family,1971,"Forced air, Electric, Gas",Central,2 spaces,,$157,"$335,000", 3, 3, 2, 1,1007-Rebbeca-Dr-Austin-TX-78758,https://www.zillow.com/homedetails/1007-Rebbeca-Dr-Austin-TX-78758/2077632061_zpid/,0.26 Acres
4,Single Family,1963,Forced air,Central,4 spaces,None,$290,"$660,000", 3, 2, 2,,9000-Honeycomb-Dr-Austin-TX-78737,https://www.zillow.com/homedetails/9000-Honeycomb-Dr-Austin-TX-78737/29484794_zpid/,2.99 acres
5,Condo,1977,Forced air,Central,2 spaces,$270/month,$289,"$270,000", 2, 1, 1,,1901-Glen-Allen-St-APT-1-Austin-TX-78704,https://www.zillow.com/homedetails/1901-Glen-Allen-St-APT-1-Austin-TX-78704/60138612_zpid/,
6,Single Family,2012,"Forced air, Electric",Central,5 spaces,,$164,"$465,000", 4, 4, 3, 1,146-Catalina-Ln-Austin-TX-78737,https://www.zillow.com/homedetails/146-Catalina-Ln-Austin-TX-78737/119621504_zpid/,"8,886 sqft"
7,Single Family,1994,Forced air,Central,4 spaces,$16/month,$228,"$819,000", 4, 5, 3, 2,3705-Ebony-Hollow-Cv-Austin-TX-78739,https://www.zillow.com/homedetails/3705-Ebony-Hollow-Cv-Austin-TX-78739/29514892_zpid/,1.12 acres
8,Single Family,2004,"Other, Electric",Central,2 spaces,,$190,"$250,000", 3, 2, 2,,6525-Alum-Rock-Cv-Austin-TX-78747,https://www.zillow.com/homedetails/6525-Alum-Rock-Cv-Austin-TX-78747/63838081_zpid/,"9,365 sqft"
9,Single Family,1984,Forced air,Central,4 spaces,None,$249,"$325,000", 3, 2, 2,,12723-Acadian-Trl-Austin-TX-78727,https://www.zillow.com/homedetails/12723-Acadian-Trl-Austin-TX-78727/29446055_zpid/,"7,318 sqft"
