,Type,Year built,Heating,Cooling,Parking,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
0,Multi Family,1921,Forced air,No Data,2 spaces,"$279,900","5931 S Campbell Ave, Chicago, IL 60629", No,6,3.0,3.0,"Home values in Chicago Lawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chicago Lawn will rise 1.8% () in the next year.This home is valued 69.6% higher () than the median home in Chicago Lawn.The median Zestimate for this neighborhood is $165,068.",https://www.zillow.com/homedetails/5931-S-Campbell-Ave-Chicago-IL-60629/2142525861_zpid/,,,,,For Sale
1,Single Family,1924,Gas,Central,2 spaces,"$138,970","11117 S Sawyer Ave, Chicago, IL 60655", No,3,1.0,1.0,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% () in the next year.This home is valued 42.8% lower () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/11117-S-Sawyer-Ave-Chicago-IL-60655/4096742_zpid/,"3,789 sqft",988,,,For Sale
2,Multi Family,1930,Forced air,No Data,None,"$99,900","7151 S Green St, Chicago, IL 60621", No,6,2.0,2.0,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 104.9% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/7151-S-Green-St-Chicago-IL-60621/2077613010_zpid/,,,,,For Sale
3,Single Family,1898,Gas,No Data,1 space,"$39,900","620 W 60th St, Chicago, IL 60621", No,4,2.0,2.0,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 18.1% lower () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/620-W-60th-St-Chicago-IL-60621/3991519_zpid/,"3,301 sqft","1,498",None,,For Sale
4,Condo,1934,Forced air,No Data,None,"$168,900","5148 N Monitor Ave APT 202, Chicago, IL 60630", No,2,1.0,1.0,"Home values in Jefferson Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% () in the next year.This home is valued 44.3% lower () than the median home in Jefferson Park.The median Zestimate for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5148-N-Monitor-Ave-APT-202-Chicago-IL-60630/63692654_zpid/,,"1,000",$234/month,,For Sale
5,Multiple Occupancy,1922,"Forced air, Gas",No Data,3 spaces,"$320,000","7828 S Colfax Ave, Chicago, IL 60649", No,9,3.0,3.0,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 194.7% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7828-S-Colfax-Ave-Chicago-IL-60649/2077613653_zpid/,,,,,For Sale
6,Condo,1892,"Forced air, Gas",Central,No Data,"$299,000","1211 N Honore St #B, Chicago, IL 60622", No,2,2.0,2.0,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 48.9% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1211-N-Honore-St-B-Chicago-IL-60622/3860141_zpid/,,"1,100",$224/mo,,For Sale
7,Single Family,1901,No Data,No Data,No Data,"$39,900","348 W 109th St, Chicago, IL 60628", No,3,2.0,2.0,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% () in the next year.This home is valued 52.5% lower () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/348-W-109th-St-Chicago-IL-60628/4143151_zpid/,"3,101 sqft","1,200",,,For Sale
8,Multi Family,1916,Gas,No Data,2 spaces,"$230,000","2226 N Kostner Ave, Chicago, IL 60639", No,5,2.0,2.0,"Home values in Hermosa have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hermosa will fall 0% () in the next year.This home is valued 7.9% lower () than the median home in Hermosa.The median Zestimate for this neighborhood is $249,786.",https://www.zillow.com/homedetails/2226-N-Kostner-Ave-Chicago-IL-60639/2077613898_zpid/,,,,,For Sale
9,Condo,2005,Forced air,Central,1 space,"$319,900","6014 N Wolcott Ave APT 2N, Chicago, IL 60660", No,2,2.0,2.0,"Home values in West Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% () in the next year.This home is valued 5.3% higher () than the median home in West Rogers Park.The median Zestimate for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6014-N-Wolcott-Ave-APT-2N-Chicago-IL-60660/80834208_zpid/,,"1,250",$214/month,,For Sale
10,Single Family,1906,"Radiant, Gas",Central,1 space,"$339,000","5104 W Dakin St, Chicago, IL 60641", No,3,3.0,2.0,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 16.9% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5104-W-Dakin-St-Chicago-IL-60641/3663101_zpid/,"3,075 sqft","2,163",,1.0,For Sale
11,Condo,2002,Forced air,Central,1 space,"$339,900","2111 W Churchill St APT 212, Chicago, IL 60647", No,1,1.0,1.0,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 43.5% lower () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2111-W-Churchill-St-APT-212-Chicago-IL-60647/63696134_zpid/,,850,$303/month,,For Sale
