,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
0,1891.0,399700.0,282.0,399700.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
1,1915.0,319900.0,213.0,319900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
2,1991.0,300000.0,387.0,300000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
3,1944.0,160000.0,123.0,160000.0,2.0,1.0,1.0,4960.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
4,1964.0,429900.0,331.0,429900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
5,1921.0,272000.0,,272000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,1,0,0,Chicago
6,2007.0,579000.0,483.0,579000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
7,1948.0,220000.0,314.0,220000.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
8,1916.0,500000.0,278.0,500000.0,5.0,3.0,3.0,3750.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
9,1962.0,240000.0,231.0,240000.0,3.0,1.0,1.0,3136.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
10,2020.0,649000.0,309.0,649000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
11,2020.0,645000.0,349.0,645000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
12,2003.0,415000.0,,415000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
13,1927.0,399000.0,229.0,399000.0,4.0,2.0,1.0,4721.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
14,2020.0,569000.0,219.0,569000.0,4.0,4.0,3.0,,1,0,0,0,0,1,0,0,0,0,0,Chicago
15,2020.0,609000.0,,609000.0,4.0,4.0,3.0,3733.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
16,1949.0,429900.0,216.0,429900.0,3.0,2.0,2.0,7405.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
17,2009.0,1075000.0,614.0,1075000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
18,2005.0,319500.0,402.0,319500.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
19,1964.0,375000.0,288.0,375000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
20,1900.0,325000.0,187.0,325000.0,5.0,2.0,2.0,3092.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
21,1903.0,239900.0,,239900.0,7.0,3.0,3.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
22,1996.0,215000.0,138.0,215000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
23,1949.0,105000.0,88.0,105000.0,2.0,1.0,1.0,3781.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
24,1930.0,230000.0,288.0,230000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
25,2001.0,1195000.0,566.0,1195000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
26,2002.0,590000.0,408.0,590000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
27,1973.0,194000.0,231.0,194000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
28,1946.0,289900.0,167.0,289900.0,3.0,2.0,2.0,4190.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
29,1895.0,199000.0,81.0,199000.0,4.0,3.0,2.0,3049.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
30,1913.0,97000.0,122.0,97000.0,4.0,2.0,2.0,3746.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
31,1902.0,195000.0,,195000.0,4.0,2.0,2.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
32,2008.0,400000.0,381.0,400000.0,9.0,6.0,5.0,,1,0,0,1,0,0,0,0,0,0,0,Chicago
33,1958.0,316000.0,416.0,316000.0,4.0,2.0,2.0,3423.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
34,1985.0,625000.0,370.0,625000.0,2.0,3.0,2.0,40.0,1,0,0,0,0,1,0,0,0,0,0,Chicago
35,1913.0,379000.0,,379000.0,9.0,3.0,3.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
