,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
0,Condo,1891,"Forced air, Gas",Central,1 space,$386/mo,$282,"$399,700", 2, 2, 2,2511-W-Moffat-St-APT-110-Chicago-IL-60647,https://www.zillow.com/homedetails/2511-W-Moffat-St-APT-110-Chicago-IL-60647/49917250_zpid/,,,,,,
1,Condo,1915,"Forced air, Gas",Central,1 space,$362/mo,$213,"$319,900", 2, 2, 2,1116-W-Pratt-Blvd-APT-3-Chicago-IL-60626,https://www.zillow.com/homedetails/1116-W-Pratt-Blvd-APT-3-Chicago-IL-60626/87715800_zpid/,,,,,,
2,Condo,1991,Forced air,Central,1 space,$609/mo,$387,"$300,000", 1, 1, 1,440-N-Mcclurg-Ct-APT-1015-Chicago-IL-60611,https://www.zillow.com/homedetails/440-N-Mcclurg-Ct-APT-1015-Chicago-IL-60611/121072434_zpid/,,,,,,
3,Single Family,1944,Gas,No Data,3 spaces,,$123,"$160,000", 2, 1, 1,11035-S-Pulaski-Rd-Chicago-IL-60655,https://www.zillow.com/homedetails/11035-S-Pulaski-Rd-Chicago-IL-60655/4082887_zpid/,"4,960 sqft",,,,,
4,Condo,1964,Forced air,Central,1 space,"$1,032/month",$331,"$429,900", 2, 2, 2,222-E-Pearson-St-APT-1701-Chicago-IL-60611,https://www.zillow.com/homedetails/222-E-Pearson-St-APT-1701-Chicago-IL-60611/80853694_zpid/,,,,,,
5,Condo,1921,"Other, Electric",Refrigerator,1 space,$459/mo,,"$272,000", 1, 1, 1,60-E-Scott-St-APT-403-Chicago-IL-60610,https://www.zillow.com/homedetails/60-E-Scott-St-APT-403-Chicago-IL-60610/3845032_zpid/,,,,,,
6,Condo,2007,"Forced air, Gas",Central,1 space,$218/mo,$483,"$579,000", 2, 2, 2,2741-N-Bosworth-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/2741-N-Bosworth-Ave-3-Chicago-IL-60614/89915423_zpid/,,,,,,
7,Condo,1948,Baseboard,No Data,No Data,$310/mo,$314,"$220,000", 1, 1, 1,1750-N-Wells-St-APT-202-Chicago-IL-60614,https://www.zillow.com/homedetails/1750-N-Wells-St-APT-202-Chicago-IL-60614/113958969_zpid/,,,,,,
8,Single Family,1916,Forced air,Central,2 spaces,None,$278,"$500,000", 5, 3, 3,5240-W-Cuyler-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/5240-W-Cuyler-Ave-Chicago-IL-60641/3649669_zpid/,"3,750 sqft",,,,,
9,Single Family,1962,Forced air,Central,2 spaces,None,$231,"$240,000", 3, 1, 1,3433-W-54th-St-Chicago-IL-60632,https://www.zillow.com/homedetails/3433-W-54th-St-Chicago-IL-60632/3929086_zpid/,"3,136 sqft",,,,,
10,Condo,2020,"Forced air, Gas",Central,1 space,$194/mo,$309,"$649,000", 3, 2, 2,2116-N-California-Ave-6-Chicago-IL-60647,https://www.zillow.com/homedetails/2116-N-California-Ave-6-Chicago-IL-60647/2077632946_zpid/,,,,,,
11,Condo,2020,Forced air,Central,1 space,$174/month,$349,"$645,000", 3, 2, 2,2116-N-California-Ave-5-Chicago-IL-60647,https://www.zillow.com/homedetails/2116-N-California-Ave-5-Chicago-IL-60647/2077632945_zpid/,,,,,,
12,Condo,2003,"Forced air, Gas",Central,1 space,$175/mo,,"$415,000", 2, 2, 2,1637-W-Le-Moyne-St-APT-2-Chicago-IL-60622,https://www.zillow.com/homedetails/1637-W-Le-Moyne-St-APT-2-Chicago-IL-60622/70449034_zpid/,,,,,,
13,Single Family,1927,"Forced air, Gas",Central,2 spaces,,$229,"$399,000", 4, 2, 1,7232-W-Ibsen-St-Chicago-IL-60631,https://www.zillow.com/homedetails/7232-W-Ibsen-St-Chicago-IL-60631/3511314_zpid/,"4,721 sqft", 1,,,,
14,Townhouse,2020,Gas,Central,2 spaces,,$219,"$569,000", 4, 4, 3,239-E-33rd-Blvd-Chicago-IL-60616,https://www.zillow.com/homedetails/239-E-33rd-Blvd-Chicago-IL-60616/2077633370_zpid/,No Data, 1,,,,
15,Single Family,2020,Forced air,Central,2 spaces,$50/month,No Data,"$609,000", 4, 4, 3,4334-S-Vernon-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4334-S-Vernon-Ave-Chicago-IL-60653/2077633373_zpid/,"3,733 sqft", 1,,,,
16,Single Family,1949,Forced air,Central,2 spaces,,$216,"$429,900", 3, 2, 2,10957-S-Campbell-Ave-Chicago-IL-60655,https://www.zillow.com/homedetails/10957-S-Campbell-Ave-Chicago-IL-60655/4080466_zpid/,"7,405 sqft",,,,,
17,Condo,2009,Forced air,Central,2 spaces,"$1,196/month",$614,"$1,075,000", 3, 2, 2,1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605/113958053_zpid/,,,,,,
18,Condo,2005,Forced air,No Data,1 space,$235/month,$402,"$319,500", 1, 1, 1,123-S-Green-St-APT-209B-Chicago-IL-60607,https://www.zillow.com/homedetails/123-S-Green-St-APT-209B-Chicago-IL-60607/2077633611_zpid/,,,,,,
19,Condo,1964,Forced air,Central,1 space,"$1,052/month",$288,"$375,000", 2, 2, 2,1-E-Schiller-St-APT-4B-Chicago-IL-60610,https://www.zillow.com/homedetails/1-E-Schiller-St-APT-4B-Chicago-IL-60610/3844052_zpid/,,,,,,
20,Single Family,1900,Forced air,Central,2 spaces,,$187,"$325,000", 5, 2, 2,3439-W-Hirsch-St-Chicago-IL-60651,https://www.zillow.com/homedetails/3439-W-Hirsch-St-Chicago-IL-60651/3793969_zpid/,"3,092 sqft",,,,,
