,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
0,2020.0,696000.0,314.0,696000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
1,1972.0,1150000.0,344.0,1150000.0,5.0,5.0,5.0,0,12632.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
2,2020.0,484900.0,267.0,484900.0,3.0,2.0,2.0,0,8398.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
3,1971.0,335000.0,157.0,335000.0,3.0,3.0,2.0,1,11325.6,0,0,0,0,1,0,0,0,0,0,0,0,Austin
4,1963.0,660000.0,290.0,660000.0,3.0,2.0,2.0,0,130244.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
5,1977.0,270000.0,289.0,270000.0,2.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
6,2012.0,465000.0,164.0,465000.0,4.0,4.0,3.0,1,8886.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
7,1994.0,819000.0,228.0,819000.0,4.0,5.0,3.0,2,48787.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
8,2004.0,250000.0,190.0,250000.0,3.0,2.0,2.0,0,9365.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
9,1984.0,325000.0,249.0,325000.0,3.0,2.0,2.0,0,7318.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
10,2002.0,389000.0,175.0,389000.0,3.0,2.0,2.0,0,8929.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
11,2013.0,1695000.0,354.0,1695000.0,5.0,5.0,5.0,0,33105.6,0,0,0,0,1,0,0,0,0,0,0,0,Austin
12,2011.0,710000.0,426.0,710000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
13,1999.0,549900.0,192.0,549900.0,4.0,3.0,2.0,1,7143.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
14,1982.0,240000.0,203.0,240000.0,3.0,2.0,2.0,0,9713.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
15,1940.0,825000.0,494.0,825000.0,3.0,2.0,2.0,0,8015.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
16,2015.0,649900.0,328.0,649900.0,3.0,3.0,2.0,1,34412.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
17,1967.0,399900.0,256.0,399900.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
18,2016.0,530000.0,205.0,530000.0,4.0,3.0,3.0,0,8276.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
19,2009.0,559000.0,287.0,559000.0,3.0,3.0,3.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
20,1986.0,394900.0,171.0,394900.0,4.0,3.0,2.0,1,7701.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
21,2003.0,689000.0,211.0,689000.0,4.0,3.0,3.0,0,8799.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
22,1997.0,400000.0,228.0,400000.0,3.0,2.0,2.0,0,6969.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
23,1955.0,699900.0,383.0,699900.0,4.0,2.0,2.0,0,10890.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
24,1983.0,769500.0,254.0,769500.0,3.0,3.0,2.0,1,10149.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
25,1983.0,297000.0,181.0,297000.0,3.0,2.0,2.0,0,6926.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
26,2020.0,326990.0,196.0,326990.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
27,,376990.0,141.0,376990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
28,,372990.0,147.0,372990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
29,2020.0,377990.0,138.0,377990.0,5.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
30,,371990.0,147.0,371990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
31,1982.0,499990.0,229.0,499990.0,4.0,3.0,3.0,0,8537.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
32,2007.0,494700.0,709.0,494700.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
33,1954.0,515000.0,432.0,515000.0,3.0,1.0,1.0,0,8407.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
34,2017.0,369900.0,256.0,369900.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
35,1985.0,374900.0,251.0,374900.0,4.0,2.0,2.0,0,5880.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
36,1980.0,559000.0,247.0,559000.0,3.0,2.0,2.0,0,6446.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
37,1965.0,195000.0,289.0,195000.0,0.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
38,2020.0,281990.0,130.0,281990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
39,2018.0,424700.0,147.0,424700.0,4.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
40,1955.0,635000.0,403.0,635000.0,4.0,3.0,3.0,0,6926.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
41,1960.0,382500.0,342.0,382500.0,3.0,2.0,2.0,0,12632.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
42,2004.0,875000.0,247.0,875000.0,3.0,4.0,3.0,1,30056.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
43,2014.0,485000.0,706.0,485000.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
44,2008.0,432000.0,501.0,432000.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
45,1983.0,535000.0,280.0,535000.0,4.0,3.0,2.0,1,9321.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
46,2014.0,2350000.0,655.0,2350000.0,5.0,4.0,4.0,0,9278.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
47,2018.0,749000.0,257.0,749000.0,4.0,4.0,3.0,1,6969.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
48,2016.0,275000.0,225.0,275000.0,0.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
49,1979.0,475000.0,266.0,475000.0,3.0,3.0,3.0,0,3920.0,0,0,0,0,0,1,0,0,0,0,0,0,Austin
50,2008.0,429900.0,196.0,429900.0,3.0,2.0,2.0,0,8145.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
51,1962.0,439900.0,246.0,439900.0,3.0,2.0,2.0,0,10890.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
52,2018.0,1098000.0,517.0,1098000.0,3.0,4.0,3.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
53,1973.0,370000.0,306.0,370000.0,3.0,2.0,2.0,0,6708.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
54,2001.0,991150.0,401.0,991150.0,4.0,4.0,3.0,1,20908.8,0,0,0,0,1,0,0,0,0,0,0,0,Austin
55,2015.0,1250000.0,433.0,1250000.0,4.0,4.0,4.0,0,37026.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
56,2007.0,368500.0,394.0,368500.0,2.0,1.0,1.0,0,,0,0,0,0,0,0,0,0,0,0,1,0,Austin
57,1991.0,395000.0,208.0,395000.0,4.0,3.0,2.0,1,7884.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
58,2002.0,330000.0,130.0,330000.0,3.0,3.0,2.0,1,7230.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
59,1966.0,899000.0,371.0,899000.0,3.0,2.0,2.0,0,11761.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
60,1951.0,689900.0,428.0,689900.0,3.0,2.0,2.0,0,12196.8,0,0,0,0,1,0,0,0,0,0,0,0,Austin
61,1999.0,529000.0,367.0,529000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
62,1949.0,400000.0,296.0,400000.0,3.0,1.0,1.0,0,5793.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
63,2013.0,2095000.0,668.0,2095000.0,4.0,3.0,2.0,1,9365.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
64,2020.0,266990.0,125.0,266990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
65,2017.0,275000.0,178.0,275000.0,3.0,3.0,2.0,1,3963.0,0,0,0,0,0,1,0,0,0,0,0,0,Austin
