,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
0,Multiple Occupancy,1913,"Forced air, Gas",No Data,2 spaces,"$379,000", 9, 3, 3,1918-S-Ridgeway-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/1918-S-Ridgeway-Ave-Chicago-IL-60623/2077637473_zpid/,,,,,,,,
1,Single Family,2006,Gas,Central,4 spaces,"$225,000", 3, 3, 3,1502-S-Karlov-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/1502-S-Karlov-Ave-Chicago-IL-60623/80808990_zpid/,None,"3,131 sqft",$147,,,,,
2,Single Family,1977,"Forced air, Electric, Gas",Central,9 spaces,"$899,900", 5, 6, 5,5673-N-Las-Casas-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/5673-N-Las-Casas-Ave-Chicago-IL-60646/3624872_zpid/,,"6,098 sqft",$248, 1,,,,
3,Single Family,1951,"Forced air, Gas",Central,1 space,"$369,900", 4, 3, 2,3356-N-Pittsburgh-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3356-N-Pittsburgh-Ave-Chicago-IL-60634/3596498_zpid/,,"4,443 sqft",$168, 1,,,,
4,Single Family,1960,Gas,Central,2 spaces,"$299,900", 5, 2, 2,6325-W-Berenice-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/6325-W-Berenice-Ave-Chicago-IL-60634/3658829_zpid/,,"3,092 sqft",$309,,,,,
5,Multiple Occupancy,1890,Forced air,Central,No Data,"$378,000", 6, 3, 3,3659-S-Wood-St-Chicago-IL-60609,https://www.zillow.com/homedetails/3659-S-Wood-St-Chicago-IL-60609/158884674_zpid/,,,$945,,,,,
6,Single Family,1960,"Electric, Gas",Central,2 spaces,"$199,900", 3, 2, 1,9806-S-Escanaba-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/9806-S-Escanaba-Ave-Chicago-IL-60617/4168465_zpid/,,"4,229 sqft",$83, 1,,,,
7,Multi Family,1910,Gas,No Data,5 spaces,"$385,000", 6, 3, 3,3934-N-Sawyer-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3934-N-Sawyer-Ave-Chicago-IL-60618/2125203659_zpid/,,,No Data,,,,,
8,Single Family,1973,Gas,Central,None,"$85,000", 4, 2, 1,5210-S-Emerald-Ave-Chicago-IL-60609,https://www.zillow.com/homedetails/5210-S-Emerald-Ave-Chicago-IL-60609/3984038_zpid/,,"5,052 sqft",$85, 1,,,,
9,Single Family,1902,Gas,No Data,2 spaces,"$85,000", 4, 1, 1,11810-S-Parnell-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/11810-S-Parnell-Ave-Chicago-IL-60628/4154063_zpid/,,"3,702 sqft",$71,,,,,
10,Single Family,1924,Gas,No Data,None,"$130,000", 3, 1, 1,9227-S-La-Salle-St-Chicago-IL-60620,https://www.zillow.com/homedetails/9227-S-La-Salle-St-Chicago-IL-60620/4120036_zpid/,None,"4,338 sqft",$129,,,,,
11,Multiple Occupancy,1908,Gas,No Data,2 spaces,"$450,000", 5, 3, 3,4303-N-Avers-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/4303-N-Avers-Ave-Chicago-IL-60618/2077637607_zpid/,,,,,,,,
12,Multi Family,1912,Forced air,No Data,2 spaces,"$179,900", 11, 5, 4,8735-S-Escanaba-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/8735-S-Escanaba-Ave-Chicago-IL-60617/159239536_zpid/,,,$145, 1,,,,
13,Single Family,1957,Gas,Central,2 spaces,"$129,900", 4, 1, 1,13455-S-Green-Bay-Ave-Chicago-IL-60633,https://www.zillow.com/homedetails/13455-S-Green-Bay-Ave-Chicago-IL-60633/4175911_zpid/,,"4,064 sqft",$100,,,,,
14,Multiple Occupancy,1919,"Forced air, Gas",No Data,No Data,"$199,000", 4, 2, 2,3558-W-Huron-St-Chicago-IL-60624,https://www.zillow.com/homedetails/3558-W-Huron-St-Chicago-IL-60624/2107645888_zpid/,,,,,,,,
15,Condo,2006,Forced air,Central,1 space,"$364,900", 2, 2, 2,4913-N-Kenmore-Ave-APT-3N-Chicago-IL-60640,https://www.zillow.com/homedetails/4913-N-Kenmore-Ave-APT-3N-Chicago-IL-60640/80833648_zpid/,$217/month,,$270,,,,,
